2016年 04月 14日 星期四 14:16:51 CST
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00626            716.408
           0        tcp     0     1         3.01452             723.12
           0        tcp     0     1         4.01703            727.262
           0        tcp     0     1          5.0174            716.533
           0        tcp     0     1         6.01846            720.133
           0        tcp     0     1          7.0212              727.1
           0        tcp     0     1         8.02797             720.11
           0        tcp     0     1         9.02989            727.691
           0        tcp     0     1         10.0339            717.994
           0        tcp     0     1         11.0342            720.698
           0        tcp     0     1         12.0371            731.102
           0        tcp     0     1         13.0413             721.93
           0        tcp     0     1         14.0433            723.536
           0        tcp     0     1         15.0504            723.973
           0        tcp     0     1         16.0566            720.474
           0        tcp     0     1         17.0588            727.536
           0        tcp     0     1         18.0633            721.761
           0        tcp     0     1         19.0682            721.443
           0        tcp     0     1         20.0689            724.468
           0        tcp     0     1         21.0691            716.628
           0        tcp     0     1         22.0715            715.094
           0        tcp     0     1         23.0742            714.897
           0        tcp     0     1          24.078            722.268
           0        tcp     0     1         25.0795            723.852
           0        tcp     0     1         26.0827            726.805
           0        tcp     0     1         27.0855            714.789
           0        tcp     0     1         28.0908            721.139
           0        tcp     0     1         29.0953            721.772
           0        tcp     0     1         30.0986            718.519
           0        tcp     0     1         31.1045            712.591
           0        tcp     0     1         32.1062            719.672
           0        tcp     0     1         33.1075            724.041
           0        tcp     0     1         34.1112            722.351
           0        tcp     0     1         35.1144            714.467
           0        tcp     0     1         36.1248            725.691
           0        tcp     0     1         37.1271            723.285
           0        tcp     0     1          38.134             707.83
           0        tcp     0     1         39.1361            711.231
           0        tcp     0     1         40.1385             723.23
           0        tcp     0     1         41.1395            720.223
           0        tcp     0     1         42.1437            721.932
           0        tcp     0     1         43.1447            728.336
           0        tcp     0     1          44.147            723.334
           0        tcp     0     1         45.1509            722.219
           0        tcp     0     1         46.1558            725.535
           0        tcp     0     1           47.16            725.981
           0        tcp     0     1         48.1629            727.025
           0        tcp     0     1         49.1633            716.469
           0        tcp     0     1         50.1685            713.086
           0        tcp     0     1         51.1721            726.506
           0        tcp     0     1         52.1747            723.125
           0        tcp     0     1         53.1761            719.838
           0        tcp     0     1         54.1791            722.825
           0        tcp     0     1         55.1831            726.225
           0        tcp     0     1         56.1873            721.982
           0        tcp     0     1           57.19             722.98
           0        tcp     0     1         58.1921            715.346
           0        tcp     0     1          59.195            722.873
           0        tcp     0     1         60.1983            714.419
           0        tcp     0     1         61.2009            714.958
           0        tcp     0     1         62.2041            718.607
           0        tcp     0     1         63.2046            716.441
           0        tcp     0     1         64.2129            719.006
           0        tcp     0     1          65.215            723.466
           0        tcp     0     1         66.2197            721.636
           0        tcp     0     1         67.2222            715.017
           0        tcp     0     1         68.2224            720.765
           0        tcp     0     1         69.2252            727.003
           0        tcp     0     1         70.2268            719.737
           0        tcp     0     1         71.2318            721.396
           0        tcp     0     1         72.2355            722.341
           0        tcp     0     1         73.2395            722.082
           0        tcp     0     1         74.2417            719.346
           0        tcp     0     1         75.2458             722.04
           0        tcp     0     1         76.2495            726.384
           0        tcp     0     1         77.2565            728.045
           0        tcp     0     1         78.2654            722.711
           0        tcp     0     1         79.2665            724.185
           0        tcp     0     1         80.2719            717.007
           0        tcp     0     1         81.2729             720.16
           0        tcp     0     1         82.2758            726.994
           0        tcp     0     1         83.2774            715.697
           0        tcp     0     1         84.2789             723.84
           0        tcp     0     1         85.2799             720.18
           0        tcp     0     1         86.2832             718.53
           0        tcp     0     1         87.2882            721.427
           0        tcp     0     1         88.2899            723.733
           0        tcp     0     1         89.2935            722.418
           0        tcp     0     1         90.2942             724.48
           0        tcp     0     1         91.2955            724.062
           0        tcp     0     1         92.2991            722.342
           0        tcp     0     1         93.3014            723.325
           0        tcp     0     1         94.3066            721.291
           0        tcp     0     1         95.3111            721.707
           0        tcp     0     1         96.3144             722.63
           0        tcp     0     1         97.3158            711.706
           0        tcp     0     1         98.3203            717.634
           0        tcp     0     1         99.3226             719.26


