2016年 03月 02日 星期三 19:14:10 CST
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00583            728.931
           0        tcp     0     1         3.01005            730.102
           0        tcp     0     1         4.01285            722.974
           0        tcp     0     1         5.01831            729.202
           0        tcp     0     1         6.01864            728.842
           0        tcp     0     1         7.02409            737.362
           0        tcp     0     1         8.03599            724.558
           0        tcp     0     1         9.04473            722.774
           0        tcp     0     1         10.0524            715.379
           0        tcp     0     1         11.0558            738.905
           0        tcp     0     1         12.0587            714.737
           0        tcp     0     1           13.06            740.387
           0        tcp     0     1         14.0609            724.348
           0        tcp     0     1         15.0631             715.19
           0        tcp     0     1         16.0668            726.418
           0        tcp     0     1         17.0688            727.634
           0        tcp     0     1          18.071            727.525
           0        tcp     0     1         19.0788            723.399
           0        tcp     0     1         20.0824            722.447
           0        tcp     0     1         21.0853            726.983
           0        tcp     0     1         22.0864            732.317
           0        tcp     0     1         23.0902            730.401
           0        tcp     0     1         24.0936            710.352
           0        tcp     0     1         25.0945            732.466
           0        tcp     0     1         26.0968            727.476
           0        tcp     0     1         27.0979            728.273
           0        tcp     0     1         28.0985            728.643
           0        tcp     0     1         29.1009            731.407
           0        tcp     0     1         30.1014            732.834
           0        tcp     0     1         31.1025            720.105
           0        tcp     0     1         32.1037            732.302
           0        tcp     0     1         33.1076             730.32
           0        tcp     0     1         34.1078            724.892
           0        tcp     0     1         35.1122            717.713
           0        tcp     0     1         36.1193            732.087
           0        tcp     0     1         37.1226            734.815
           0        tcp     0     1         38.1242             719.77
           0        tcp     0     1         39.1244            728.962
           0        tcp     0     1         40.1306            716.422
           0        tcp     0     1         41.1322            723.819
           0        tcp     0     1         42.1377            725.161
           0        tcp     0     1         43.1389             732.28
           0        tcp     0     1         44.1404            732.091
           0        tcp     0     1         45.1441            722.307
           0        tcp     0     1         46.1456            736.156
           0        tcp     0     1         47.1501            738.109
           0        tcp     0     1          48.153             722.89
           0        tcp     0     1         49.1579            733.658
           0        tcp     0     1         50.1627            737.853
           0        tcp     0     1         51.1659            726.758
           0        tcp     0     1         52.1683             723.25
           0        tcp     0     1         53.1687            728.808
           0        tcp     0     1         54.1704            723.746
           0        tcp     0     1         55.1717            719.933
           0        tcp     0     1         56.1724            732.714
           0        tcp     0     1         57.1748            735.521
           0        tcp     0     1         58.1767             723.57
           0        tcp     0     1         59.1844            719.449
           0        tcp     0     1         60.1897            733.431
           0        tcp     0     1         61.1943            725.708
           0        tcp     0     1         62.1954            707.828
           0        tcp     0     1         63.1962            732.653
           0        tcp     0     1         64.1982            727.595
           0        tcp     0     1         65.2027            725.844
           0        tcp     0     1         66.2089            724.602
           0        tcp     0     1         67.2106             727.85
           0        tcp     0     1         68.2136            730.981
           0        tcp     0     1         69.2151            723.885
           0        tcp     0     1         70.2155            741.081
           0        tcp     0     1         71.2181             723.11
           0        tcp     0     1         72.2243            724.594
           0        tcp     0     1          73.228             730.53
           0        tcp     0     1         74.2293            740.352
           0        tcp     0     1         75.2311            711.475
           0        tcp     0     1         76.2326            740.246
           0        tcp     0     1         77.2335            728.412
