#       flow   flowType   src   dst            time         throughput

           0        tcp     0    14         1.17394            23.5487
           0        tcp     0    14         1.28533            183.862
           0        tcp     0    14         1.38844            158.889
           0        tcp     0    14         1.49892            111.229
           0        tcp     0    14         1.61203            144.848
           0        tcp     0    14         1.72306             147.56
           0        tcp     0    14         1.84493             134.44
           0        tcp     0    14         1.94538             122.33
           0        tcp     0    14         2.05445            150.209
           0        tcp     0    14         2.16476            148.539
           0        tcp     0    14         2.26833            118.641
           0        tcp     0    14         2.37211            157.874
           0        tcp     0    14         2.48551            144.472
           0        tcp     0    14         2.61127            130.287
           0        tcp     0    14         2.73057            171.655
           0        tcp     0    14         2.86209            124.579
           0        tcp     0    14         2.97856            175.834
           0        tcp     0    14         3.08485            154.154
           0        tcp     0    14         3.19971            142.634
           0        tcp     0    14         3.31603            140.858
           0        tcp     0    14         3.44746            124.663
           0        tcp     0    14         3.55973            145.924
           0        tcp     0    14          3.6852            163.237
           0        tcp     0    14         3.79341            151.404
           0        tcp     0    14         4.64506             4.8095
           0        tcp     0    14         4.76178            175.453
           0        tcp     0    14         4.97677            57.1563
           0        tcp     0    14         5.09085            143.625
           0        tcp     0    14         5.21169            135.577
           0        tcp     0    14         5.32117            112.242
           0        tcp     0    14         5.43519            35.9231
           0        tcp     0    14         5.58926             79.758
           0        tcp     0    14         5.72837            88.3292
           0        tcp     0    14         5.86744            117.812
           0        tcp     0    14         6.07859            77.5946
           0        tcp     0    14         6.19219            144.232
           0        tcp     0    14         6.30616            71.8769
           0        tcp     0    14         6.44525            147.246
           0        tcp     0    14         6.58253            59.6731
           0        tcp     0    14         6.72865            140.158
           0        tcp     0    14         6.83831            112.055
           0        tcp     0    14         6.95186            108.212
           0        tcp     0    14         7.05746            116.362
           0        tcp     0    14         7.17046            144.992
           0        tcp     0    14         7.28174            110.431
           0        tcp     0    14         7.38895            152.819
           0        tcp     0    14          7.4995            111.155
           0        tcp     0    14         7.63599            120.039
           0        tcp     0    14         7.76891            154.076
           0        tcp     0    14         7.89473            130.216
           0        tcp     0    14         8.02494            157.283
           0        tcp     0    14         8.13694            146.287
           0        tcp     0    14         8.28393            139.332
           0        tcp     0    14         8.39995            141.219
           0        tcp     0    14          8.5224            167.253
           0        tcp     0    14         9.57351                  0
           0        tcp     0    14         8.64968                  0
           0        tcp     0    14         9.64968            10.9006
           0        tcp     0    14         9.75733            152.199
           0        tcp     0    14         9.86204            156.467
           0        tcp     0    14         10.0013            117.659
           0        tcp     0    14         10.1949            84.6179
           0        tcp     0    14         10.2964             80.747
           0        tcp     0    14          10.401            156.521
           0        tcp     0    14         10.5567            78.9453
           0        tcp     0    14         10.6637            153.052
           0        tcp     0    14         10.8755            77.3782
           0        tcp     0    14         11.0276            107.687
           0        tcp     0    14         11.1525            163.975
           0        tcp     0    14         11.2666            107.696
           0        tcp     0    14         11.3749            151.345
           0        tcp     0    14         11.4771            160.235
           0        tcp     0    14         12.1519            6.07006
           0        tcp     0    14          12.272            170.594
           0        tcp     0    14         12.3781            154.383
           0        tcp     0    14         12.4842            77.1971
           0        tcp     0    14         12.5937            149.659
           0        tcp     0    14         12.7122            138.278
           0        tcp     0    14         12.8306             138.29
           0        tcp     0    14         12.9429            145.975
           0        tcp     0    14         13.0682            130.711
           0        tcp     0    14          13.196             128.26
           0        tcp     0    14         13.3031            153.002
           0        tcp     0    14         13.4089            154.765
           0        tcp     0    14         13.5108            160.811
           0        tcp     0    14         13.6144            118.597
           0        tcp     0    14         13.7309            175.791
           0        tcp     0    14         13.8547             132.39
           0        tcp     0    14         13.9569            160.201
           0        tcp     0    14         14.0743            139.613
           0        tcp     0    14         14.1875            144.746
           0        tcp     0    14         14.2876            122.681
           0        tcp     0    14          14.394            154.049
           0        tcp     0    14         14.5265             154.55
           0        tcp     0    14         14.7196            63.6471
           0        tcp     0    14         14.8221            159.784
           0        tcp     0    14         15.0166            84.2541
           0        tcp     0    14         15.1386            134.222
           0        tcp     0    14         15.2543            141.707
           0        tcp     0    14         15.3757            168.637
           0        tcp     0    14          15.516            87.6046
           0        tcp     0    14         15.6386            100.229
           0        tcp     0    14         15.7894            81.4638
           0        tcp     0    14         15.8934            157.519
           0        tcp     0    14         16.0037            74.2967
           0        tcp     0    14          16.114            74.2787
           0        tcp     0    14         16.2273            144.594
           0        tcp     0    14         16.3318            78.3584
           0        tcp     0    14         16.4448            108.797
           0        tcp     0    14         16.5546            37.2947
           0        tcp     0    14         16.6716            105.032
           0        tcp     0    14         16.7894            69.5656
           0        tcp     0    14         16.9059            105.431
           0        tcp     0    14         17.0191            144.755
           0        tcp     0    14         17.1403             101.35
           0        tcp     0    14         17.2423            160.692
           0        tcp     0    14          17.368             97.726
           0        tcp     0    14         17.4733            155.566
           0        tcp     0    14         17.5738            122.364
           0        tcp     0    14         17.6885            142.821
           0        tcp     0    14         17.7932            117.321
