#       flow   flowType   src   dst            time         throughput

           0        tcp     0    14         1.21671            56.7016
           0        tcp     0    14         1.42379            158.243
           0        tcp     0    14         1.62709            161.179
           0        tcp     0    14         1.85316            144.944
           0        tcp     0    14         2.67692            4.97236
           0        tcp     0    14         2.89193             57.149
           0        tcp     0    14          3.1103            56.2722
           0        tcp     0    14         3.32962            56.0285
           0        tcp     0    14         3.58722             79.501
           0        tcp     0    14         3.80995            110.341
           0        tcp     0    14         4.02796            56.3653
           0        tcp     0    14         4.30051            90.1717
           0        tcp     0    14         4.51868            56.3212
           0        tcp     0    14         4.73507            56.7871
           0        tcp     0    14         4.95186            56.6824
           0        tcp     0    14         5.16873            56.6588
           0        tcp     0    14          5.3843            57.0032
           0        tcp     0    14         5.60304            56.1771
           0        tcp     0    14         5.82319            93.0268
           0        tcp     0    14         6.03076            157.866
           0        tcp     0    14          6.2465            113.914
           0        tcp     0    14         6.47167            90.9532
           0        tcp     0    14         6.67588             100.29
           0        tcp     0    14         6.90924            87.7614
           0        tcp     0    14         7.11474            99.6599
           0        tcp     0    14         7.33183            94.3376
           0        tcp     0    14         7.55834            144.666
           0        tcp     0    14          7.7792             129.82
           0        tcp     0    14         8.02166            135.147
           0        tcp     0    14         8.24194            148.757
           0        tcp     0    14         8.44989            118.179
           0        tcp     0    14         8.67787            143.735
           0        tcp     0    14         8.87795             122.83
           0        tcp     0    14         9.11717            85.6117
           0        tcp     0    14         9.36035            117.902
           0        tcp     0    14         9.58346            128.515
           0        tcp     0    14         9.78723            100.501
           0        tcp     0    14         10.0071            111.786
           0        tcp     0    14         10.2435            103.947
           0        tcp     0    14          10.497            80.8078
           0        tcp     0    14         10.7161            56.0668
           0        tcp     0    14         10.9318            56.9847
           0        tcp     0    14         11.1491            56.5467
           0        tcp     0    14         11.3659            113.346
           0        tcp     0    14         11.5785            154.097
           0        tcp     0    14         11.7894            155.383
           0        tcp     0    14         12.0107            129.546
           0        tcp     0    14         12.2537            84.2939
           0        tcp     0    14         12.4583            100.112
           0        tcp     0    14         12.6773            130.879
           0        tcp     0    14         12.8984            129.709
           0        tcp     0    14         13.1055            138.411
           0        tcp     0    14         13.3213             151.91
           0        tcp     0    14          13.533            154.758
           0        tcp     0    14         13.7576            145.899
           0        tcp     0    14         13.9721            133.648
           0        tcp     0    14         14.1909            93.6301
           0        tcp     0    14         14.4256            87.2436
           0        tcp     0    14         14.6439            112.561
           0        tcp     0    14         14.8569             115.42
           0        tcp     0    14          15.069            135.172
           0        tcp     0    14         15.2775            137.485
           0        tcp     0    14         15.4868            117.422
           0        tcp     0    14         15.6982            116.258
           0        tcp     0    14         15.9011            141.289
           0        tcp     0    14         16.1064            139.676
           0        tcp     0    14         16.3194            153.833
           0        tcp     0    14         16.5244            139.887
           0        tcp     0    14         16.7263             121.69
           0        tcp     0    14         16.9391            115.521
           0        tcp     0    14         17.1526            134.287
           0        tcp     0    14          17.401            131.923
           0        tcp     0    14         17.6265            108.956
           0        tcp     0    14          17.853            90.4365
           0        tcp     0    14         18.0532            122.756
           0        tcp     0    14         18.2702            132.129
           0        tcp     0    14         18.4898            149.239
           0        tcp     0    14         18.7127             147.02
           0        tcp     0    14         18.9227            136.501
           0        tcp     0    14         19.1349             135.13
           0        tcp     0    14         19.3533            131.246
           0        tcp     0    14         19.5746            148.099
           0        tcp     0    14         19.7818            158.149
           0        tcp     0    14         20.0072            127.224
           0        tcp     0    14         20.2223            114.234
           0        tcp     0    14         20.4494            108.215
           0        tcp     0    14         20.6944            133.748
           0        tcp     0    14         20.9151            148.461
           0        tcp     0    14         21.1374            147.413
           0        tcp     0    14          21.354            151.295
           0        tcp     0    14          21.579            127.408
           0        tcp     0    14         21.7886            136.833
           0        tcp     0    14         21.9927            140.462
           0        tcp     0    14         22.1996            138.567
           0        tcp     0    14         22.4066            118.739
           0        tcp     0    14         22.6238            132.006
           0        tcp     0    14         22.8253            121.946
           0        tcp     0    14         23.0388            95.9201
           0        tcp     0    14         23.2652            90.4933
           0        tcp     0    14           23.49            91.0762
           0        tcp     0    14         23.6963            119.118
           0        tcp     0    14         23.9055            137.091
           0        tcp     0    14         24.1165            155.261
           0        tcp     0    14         24.3233            138.685
           0        tcp     0    14         24.5561             140.77
           0        tcp     0    14         24.7602            140.448
           0        tcp     0    14         24.9826            147.318
           0        tcp     0    14         25.2069            164.377
           0        tcp     0    14          25.408            142.553
           0        tcp     0    14         25.6266            131.201
           0        tcp     0    14         25.8717            116.984
           0        tcp     0    14         26.0856            114.862
           0        tcp     0    14         26.3032            94.1335
           0        tcp     0    14         26.5267            91.6144
           0        tcp     0    14         26.7878            94.1253
           0        tcp     0    14         27.0142            144.743
           0        tcp     0    14         27.2212            138.532
           0        tcp     0    14         27.4507            124.917
           0        tcp     0    14         27.6512            102.175
           0        tcp     0    14         27.8636            96.4079
           0        tcp     0    14         28.0891            90.8027
           0        tcp     0    14         28.3399            81.6589
           0        tcp     0    14         28.5536            115.036
           0        tcp     0    14         28.7588            139.711
           0        tcp     0    14         28.9596             122.41
           0        tcp     0    14         29.1738            133.802
           0        tcp     0    14         29.3823            137.543
           0        tcp     0    14         29.5999            131.754
           0        tcp     0    14         29.8179            112.758
           0        tcp     0    14         30.0363            112.535
           0        tcp     0    14         30.2606            109.539
           0        tcp     0    14         30.4733            96.3086
           0        tcp     0    14         30.6859            115.587
           0        tcp     0    14         30.8882            141.723
           0        tcp     0    14         31.1105            147.412
           0        tcp     0    14         31.3191            157.045
           0        tcp     0    14         31.5567             137.94
           0        tcp     0    14         31.7567            122.874
           0        tcp     0    14         31.9937            86.4012
           0        tcp     0    14         32.2085            95.3549
           0        tcp     0    14         32.4357            72.1179
           0        tcp     0    14         32.6417            99.4305
           0        tcp     0    14          32.867            163.604
           0        tcp     0    14         33.0881            129.677
           0        tcp     0    14         33.3045            113.571
           0        tcp     0    14         33.5168            115.757
           0        tcp     0    14         33.7479            88.6273
           0        tcp     0    14         34.0226            89.4489
           0        tcp     0    14         34.2388            56.8502
           0        tcp     0    14         34.4695            124.262
           0        tcp     0    14         34.6949            145.361
           0        tcp     0    14         34.9326            137.873
           0        tcp     0    14         35.1472            152.683
           0        tcp     0    14         35.3687            147.961
           0        tcp     0    14         35.5873            131.128
           0        tcp     0    14         35.7902            141.327
           0        tcp     0    14         36.0324             135.32
           0        tcp     0    14         36.2387            119.125
           0        tcp     0    14         36.4513            154.075
           0        tcp     0    14         36.6725            148.158
           0        tcp     0    14         36.8766            140.473
           0        tcp     0    14         37.0788            141.819
           0        tcp     0    14         37.2956            113.371
           0        tcp     0    14         37.5002            120.078
           0        tcp     0    14         37.7075            118.549
           0        tcp     0    14         37.9167            117.475
           0        tcp     0    14         38.1192            121.401
           0        tcp     0    14         38.3207            121.969
           0        tcp     0    14         38.5311             155.72
           0        tcp     0    14         38.7388            157.801
           0        tcp     0    14         38.9428            120.418
           0        tcp     0    14          39.181            137.604
           0        tcp     0    14         39.3816            142.954
           0        tcp     0    14         39.6104            107.374
           0        tcp     0    14         39.8321            110.868
           0        tcp     0    14         40.0365            160.284
           0        tcp     0    14         40.2508            152.958
           0        tcp     0    14         40.4643            134.254
           0        tcp     0    14         40.6996            104.458
           0        tcp     0    14         40.9188            130.818
           0        tcp     0    14         41.1215            121.221
           0        tcp     0    14         41.3414             111.76
           0        tcp     0    14         41.5593            131.584
           0        tcp     0    14          41.764            140.073
           0        tcp     0    14         41.9856            129.418
           0        tcp     0    14         42.1961            116.732
           0        tcp     0    14         42.4148            149.791
           0        tcp     0    14         42.6426              125.9
           0        tcp     0    14         42.8643            110.842
           0        tcp     0    14         43.1339            91.1564
           0        tcp     0    14         43.3448             135.95
           0        tcp     0    14         43.5709            108.679
           0        tcp     0    14         43.7924             147.99
           0        tcp     0    14         44.0018            136.894
           0        tcp     0    14         44.2149            134.541
           0        tcp     0    14         44.4515            121.179
           0        tcp     0    14         44.6955            100.714
           0        tcp     0    14         44.9607            92.6738
           0        tcp     0    14         45.1628            101.365
           0        tcp     0    14         45.3896            90.3061
           0        tcp     0    14         45.6178            125.633
           0        tcp     0    14         45.8328            133.335
           0        tcp     0    14         46.0387            139.279
           0        tcp     0    14         46.2788            119.384
           0        tcp     0    14         46.5219            117.975
           0        tcp     0    14         46.7235            142.238
           0        tcp     0    14         46.9293            159.214
           0        tcp     0    14         47.1331            120.576
           0        tcp     0    14         47.3506            94.1495
           0        tcp     0    14         47.5635            96.2114
           0        tcp     0    14         47.7845            111.184
           0        tcp     0    14         48.0029            112.541
           0        tcp     0    14         48.2291            144.854
           0        tcp     0    14         48.4434             152.89
           0        tcp     0    14         48.6606            150.888
           0        tcp     0    14         48.8711            136.205
           0        tcp     0    14         49.0804            117.405
           0        tcp     0    14         49.2944            134.028
           0        tcp     0    14         49.4972            141.327
           0        tcp     0    14         49.7148            131.792
           0        tcp     0    14         49.9248            156.009
           0        tcp     0    14          50.135            136.419
           0        tcp     0    14         50.3758             136.07
           0        tcp     0    14         50.6114            139.094
           0        tcp     0    14         50.8347            128.394
           0        tcp     0    14         51.0571            147.338
           0        tcp     0    14         51.2729            132.897
           0        tcp     0    14         51.4834            136.153
           0        tcp     0    14          51.722            137.369
           0        tcp     0    14         51.9256            120.701
           0        tcp     0    14         52.1291            120.736
           0        tcp     0    14         52.3421            115.401
           0        tcp     0    14         52.5801            120.476
           0        tcp     0    14          52.826            116.585
           0        tcp     0    14          53.036            156.084
           0        tcp     0    14         53.2553             149.39
           0        tcp     0    14         53.5035             115.52
           0        tcp     0    14         53.7059            121.414
           0        tcp     0    14         53.9212             95.129
           0        tcp     0    14         54.1708             98.473
           0        tcp     0    14          54.408            120.845
           0        tcp     0    14         54.6194            135.679
           0        tcp     0    14         54.8397            130.101
           0        tcp     0    14         55.0605            129.856
           0        tcp     0    14         55.2618            122.118
           0        tcp     0    14          55.466            160.485
           0        tcp     0    14         55.6666            142.942
           0        tcp     0    14         55.8672            142.895
           0        tcp     0    14         56.0968            142.713
           0        tcp     0    14          56.325            143.595
           0        tcp     0    14         56.5254            143.058
           0        tcp     0    14         56.7297            140.393
           0        tcp     0    14         56.9579            125.648
           0        tcp     0    14         57.1724            133.624
           0        tcp     0    14         57.3747            141.761
           0        tcp     0    14          57.577            141.709
           0        tcp     0    14         57.7844            118.521
           0        tcp     0    14         57.9855            122.187
           0        tcp     0    14         58.1869            101.676
           0        tcp     0    14         58.4173              106.7
           0        tcp     0    14          58.618            122.452
           0        tcp     0    14         58.8279            136.563
           0        tcp     0    14         59.0457            131.638
           0        tcp     0    14          59.265            149.425
           0        tcp     0    14         59.4685            140.929
           0        tcp     0    14         59.6822             134.16
           0        tcp     0    14         59.9098            143.978
           0        tcp     0    14         60.1318            110.673
           0        tcp     0    14          60.347            95.1626
           0        tcp     0    14         60.6149            91.7595
           0        tcp     0    14         60.8308            94.8334
           0        tcp     0    14         61.0487            131.585
           0        tcp     0    14         61.2776            125.266
           0        tcp     0    14         61.5028            127.315
           0        tcp     0    14         61.7067            140.665
           0        tcp     0    14          61.914            138.262
           0        tcp     0    14         62.1297            113.942
           0        tcp     0    14         62.3414            116.116
           0        tcp     0    14         62.5652            128.079
           0        tcp     0    14         62.7674            141.792
           0        tcp     0    14         62.9812            134.113
           0        tcp     0    14         63.2009            149.183
           0        tcp     0    14         63.4176            151.191
           0        tcp     0    14         63.6498            123.507
           0        tcp     0    14         63.8967            116.103
           0        tcp     0    14         64.1321            121.801
           0        tcp     0    14         64.3453            115.291
           0        tcp     0    14         64.5635            131.362
           0        tcp     0    14         64.7921            107.534
           0        tcp     0    14         65.0317            102.567
           0        tcp     0    14         65.2561            91.2588
           0        tcp     0    14         65.4858            89.1651
           0        tcp     0    14         65.7376            81.3455
           0        tcp     0    14         65.9861            82.4034
           0        tcp     0    14         66.1909            140.028
           0        tcp     0    14         66.4033             134.98
           0        tcp     0    14         66.6408            137.967
           0        tcp     0    14         66.8622            129.506
           0        tcp     0    14         67.0699            98.5845
           0        tcp     0    14         67.2927            91.9178
           0        tcp     0    14         67.5145            92.3335
           0        tcp     0    14         67.7192            100.071
           0        tcp     0    14         67.9598            85.1198
           0        tcp     0    14         68.1773            56.4918
           0        tcp     0    14         68.3948            150.657
           0        tcp     0    14         68.5964            121.903
           0        tcp     0    14         68.8003            140.619
           0        tcp     0    14         69.0106             136.33
           0        tcp     0    14         69.2187            137.785
           0        tcp     0    14         69.4361            131.864
           0        tcp     0    14          69.665            125.283
           0        tcp     0    14         69.8954            142.244
           0        tcp     0    14         70.1289             140.34
           0        tcp     0    14         70.3556            144.506
           0        tcp     0    14         70.5689            134.417
           0        tcp     0    14         70.7773             117.95
           0        tcp     0    14         70.9801            121.147
           0        tcp     0    14         71.1923            115.866
           0        tcp     0    14          71.393            102.003
           0        tcp     0    14         71.6263            87.8124
           0        tcp     0    14         71.8351             137.26
           0        tcp     0    14         72.0605            145.379
           0        tcp     0    14         72.2672            158.523
           0        tcp     0    14         72.4942            108.292
           0        tcp     0    14         72.6984            100.274
           0        tcp     0    14         72.9215            91.8125
           0        tcp     0    14         73.1305            97.9871
           0        tcp     0    14         73.3638            87.7669
           0        tcp     0    14          73.572            98.3991
           0        tcp     0    14          73.803            159.565
           0        tcp     0    14         74.0173            152.896
           0        tcp     0    14         74.2422            145.683
           0        tcp     0    14          74.445            141.431
           0        tcp     0    14         74.6795            139.714
           0        tcp     0    14          74.923            117.743
           0        tcp     0    14         75.1644            118.785
           0        tcp     0    14         75.3647            102.228
           0        tcp     0    14         75.5767            135.241
           0        tcp     0    14         75.8036            126.368
           0        tcp     0    14         76.0143            155.556
           0        tcp     0    14         76.2258            154.942
           0        tcp     0    14         76.4319            139.102
           0        tcp     0    14          76.644            154.516
           0        tcp     0    14         76.8515            118.417
           0        tcp     0    14         77.0932            118.642
           0        tcp     0    14         77.2972             120.45
           0        tcp     0    14         77.5481            97.9705
           0        tcp     0    14         77.8027            96.4931
           0        tcp     0    14         78.0264             91.585
           0        tcp     0    14         78.2935             92.015
           0        tcp     0    14         78.5183            163.915
           0        tcp     0    14         78.7295            135.797
           0        tcp     0    14          78.944            133.663
           0        tcp     0    14         79.1511            118.691
           0        tcp     0    14          79.353            121.701
           0        tcp     0    14         79.5577            100.062
           0        tcp     0    14         79.7806            55.1276
           0        tcp     0    14         79.9977            56.5962
           0        tcp     0    14         80.2128            57.1304
           0        tcp     0    14         80.4744            78.2689
           0        tcp     0    14         80.7146            85.2658
           0        tcp     0    14         80.9256            155.311
           0        tcp     0    14         81.1475            110.755
           0        tcp     0    14         81.3685            148.285
           0        tcp     0    14         81.5788            136.333
           0        tcp     0    14         81.7919            134.532
           0        tcp     0    14         82.0267            122.121
           0        tcp     0    14         82.2316            119.943
           0        tcp     0    14         82.4592            125.962
