2016年 06月 07日 星期二 14:29:02 CST
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00533            505.211
           0        tcp     0     1         3.00741            498.675
           0        tcp     0     1         4.01211            525.912
           0        tcp     0     1         5.01701            485.047
           0        tcp     0     1         6.01877            494.745
           0        tcp     0     1         7.01901            454.547
           0        tcp     0     1         8.02241            489.854
           0        tcp     0     1         9.02377            507.214
           0        tcp     0     1         10.0285            521.826
           0        tcp     0     1         11.0369            479.302
           0        tcp     0     1         12.0424            480.675
           0        tcp     0     1          13.046            518.347
           0        tcp     0     1         14.0505            489.279
           0        tcp     0     1         15.0544            501.891
           0        tcp     0     1         16.0607            480.293
           0        tcp     0     1         17.0674            476.043
           0        tcp     0     1         18.0735            484.459
           0        tcp     0     1         19.0867            485.126
           0        tcp     0     1         20.0906            489.611
           0        tcp     0     1         21.0927            478.199
           0        tcp     0     1         22.1049            493.718
           0        tcp     0     1         23.1117             488.22
           0        tcp     0     1         24.1136            531.428
           0        tcp     0     1          25.116            478.094
           0        tcp     0     1         26.1256            482.799
           0        tcp     0     1         27.1337            483.517
           0        tcp     0     1         28.1363            494.331
           0        tcp     0     1         29.1445            495.608
           0        tcp     0     1         30.1489            509.767
           0        tcp     0     1         31.1557            496.357
           0        tcp     0     1         32.1658            510.936
           0        tcp     0     1         33.1694            473.432
           0        tcp     0     1         34.1727            522.573
           0        tcp     0     1         35.1773            456.625
           0        tcp     0     1         36.1865            474.882
           0        tcp     0     1         37.1897             457.27
           0        tcp     0     1         38.1944            538.153
           0        tcp     0     1         39.2034            499.314
           0        tcp     0     1         40.2077            509.838
           0        tcp     0     1         41.2145            496.317
           0        tcp     0     1         42.2195            485.018
           0        tcp     0     1         43.2228            522.532
           0        tcp     0     1         44.2278            546.154
           0        tcp     0     1         45.2338            472.284
           0        tcp     0     1         46.2355            519.299
           0        tcp     0     1         47.2396            473.186
           0        tcp     0     1         48.2409            482.749
           0        tcp     0     1         49.2462            492.974
           0        tcp     0     1         50.2518            533.577
           0        tcp     0     1         51.2569            521.648
           0        tcp     0     1         52.2676            494.422
           0        tcp     0     1         53.2698            453.658
           0        tcp     0     1         54.2799            474.431
           0        tcp     0     1          55.284            522.164
           0        tcp     0     1         56.3076            508.202
           0        tcp     0     1         57.3168            499.215
           0        tcp     0     1         58.3295            509.624
           0        tcp     0     1         59.3385            499.314
           0        tcp     0     1         60.3389            474.937
           0        tcp     0     1         61.3464            467.533
           0        tcp     0     1         62.3499            440.808
           0        tcp     0     1         63.3518            490.578
           0        tcp     0     1         64.3538            539.614
           0        tcp     0     1         65.3578            481.422
           0        tcp     0     1         66.3631            468.547
           0        tcp     0     1          67.364            527.919
           0        tcp     0     1         68.3654            507.164
           0        tcp     0     1           69.37            525.965
           0        tcp     0     1         70.3724            502.602
           0        tcp     0     1         71.3809            507.695
           0        tcp     0     1         72.3825            458.037
           0        tcp     0     1         73.3886             488.53
           0        tcp     0     1         74.3986            486.673
           0        tcp     0     1         75.4085            523.173
           0        tcp     0     1         76.4126            497.681
           0        tcp     0     1         77.4144             482.45
           0        tcp     0     1          78.422            487.832
           0        tcp     0     1         79.4267            525.881
           0        tcp     0     1         80.4347              499.8
           0        tcp     0     1         81.4403            496.939
           0        tcp     0     1         82.4435            506.294
           0        tcp     0     1         83.4454            519.195
           0        tcp     0     1         84.4515            492.631
           0        tcp     0     1         85.4575            476.345
           0        tcp     0     1         86.4618            509.828
           0        tcp     0     1         87.4645            445.271
           0        tcp     0     1         88.4656            531.874
           0        tcp     0     1         89.4689            506.274
           0        tcp     0     1         90.4767            487.696
           0        tcp     0     1         91.4914            480.372
           0        tcp     0     1         92.5006             515.46
           0        tcp     0     1         93.5007            487.346
           0        tcp     0     1         94.5052            505.631
           0        tcp     0     1         95.5087            444.931
           0        tcp     0     1         96.5088            487.327
           0        tcp     0     1         97.5144            505.086
           0        tcp     0     1         98.5194            485.028
           0        tcp     0     1         99.5224            506.395



--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.00876             296.41
           0        tcp     0     2         3.01996            299.747
           0        tcp     0     2          4.0278            288.556
           0        tcp     0     2         5.04342            302.473
           0        tcp     0     2         6.05548            291.398
           0        tcp     0     2         7.06404            308.655
           0        tcp     0     2         8.06493            315.113
           0        tcp     0     2          9.0744            279.971
           0        tcp     0     2         10.0747             298.93
           0        tcp     0     2         11.0782            297.941
           0        tcp     0     2         12.0835            309.675
           0        tcp     0     2         13.0864            298.141
           0        tcp     0     2         14.0939            313.044
           0        tcp     0     2         15.1031            316.571
           0        tcp     0     2         16.1061            298.109
           0        tcp     0     2         17.1127            317.401
           0        tcp     0     2          18.118            305.587
           0        tcp     0     2         19.1242            289.014
           0        tcp     0     2         20.1274             310.29
           0        tcp     0     2         21.1352            321.087
           0        tcp     0     2          22.141            297.294
           0        tcp     0     2         23.1558            314.818
           0        tcp     0     2         24.1575            323.054
           0        tcp     0     2         25.1576            327.647
           0        tcp     0     2         26.1637            297.184
           0        tcp     0     2         27.1724            316.735
           0        tcp     0     2         28.1797            292.769
           0        tcp     0     2         29.1916            319.776
           0        tcp     0     2         30.1999            300.606
           0        tcp     0     2         31.2096            304.258
           0        tcp     0     2         32.2212            307.732
           0        tcp     0     2         33.2241            302.222
           0        tcp     0     2         34.2316            300.842
           0        tcp     0     2         35.2478            302.321
           0        tcp     0     2         36.2478            303.097
           0        tcp     0     2         37.2495            310.762
           0        tcp     0     2         38.2542             326.16
           0        tcp     0     2         39.2612            292.847
           0        tcp     0     2          40.263            314.823
