#       flow   flowType   src   dst            time         throughput

           0        tcp     0    14         1.20068            20.4105
           0        tcp     0    14         1.30262            80.3652
           0        tcp     0    14         1.42121            138.152
           0        tcp     0    14         1.53755            140.828
           0        tcp     0    14         1.64234            156.348
           0        tcp     0    14         1.75466            109.405
           0        tcp     0    14         1.85562            162.274
           0        tcp     0    14         1.97807            133.807
           0        tcp     0    14         2.26548            57.0053
           0        tcp     0    14         2.37219            153.534
           0        tcp     0    14         2.47593            118.448
           0        tcp     0    14         2.59576            136.732
           0        tcp     0    14         2.70334            152.293
           0        tcp     0    14         2.81046            191.195
           0        tcp     0    14         2.95645            28.0565
           0        tcp     0    14         3.06807            146.785
           0        tcp     0    14         3.18331             142.17
           0        tcp     0    14         3.28491            120.949
           0        tcp     0    14         3.40597             135.34
           0        tcp     0    14         4.49807                  0
           0        tcp     0    14         3.50164                  0
           0        tcp     0    14         4.50164            14.9534
           0        tcp     0    14         4.60532            118.508
           0        tcp     0    14         4.72039            71.1952
           0        tcp     0    14         5.19622            8.60815
           0        tcp     0    14         5.31162            141.977
           0        tcp     0    14         5.46626            105.944
           0        tcp     0    14         5.57704            147.906
           0        tcp     0    14         5.67786            162.505
           0        tcp     0    14         5.78328            116.556
           0        tcp     0    14         5.88866            155.481
           0        tcp     0    14         5.99137             119.64
           0        tcp     0    14         6.10535            143.745
           0        tcp     0    14         6.21892            144.256
           0        tcp     0    14         6.35513            120.284
           0        tcp     0    14         7.13577            15.7409
           0        tcp     0    14         7.24721            183.785
           0        tcp     0    14         7.36057            144.529
           0        tcp     0    14         7.47684            140.917
           0        tcp     0    14         7.59563            137.927
           0        tcp     0    14         7.74022            84.9851
           0        tcp     0    14         7.85539            106.691
           0        tcp     0    14         7.95572            163.301
           0        tcp     0    14         8.06121            116.486
           0        tcp     0    14         8.17175            148.219
           0        tcp     0    14         8.28249            110.964
           0        tcp     0    14         8.40652            165.119
           0        tcp     0    14          8.5174            147.759
           0        tcp     0    14         8.66193            141.703
           0        tcp     0    14         8.78278            135.572
           0        tcp     0    14         8.92822            84.4861
           0        tcp     0    14          9.1642            69.4296
           0        tcp     0    14         9.27464            37.0903
           0        tcp     0    14         10.3367                  0
           0        tcp     0    14         48.0183                  0
           0        tcp     0    14         49.0183           0.824483
           0        tcp     0    14          49.129             37.029
           0        tcp     0    14         49.2574            95.6731
           0        tcp     0    14         49.3619            117.602
           0        tcp     0    14         49.4722            111.389
           0        tcp     0    14         49.5878            141.709
           0        tcp     0    14         49.6979              148.8
           0        tcp     0    14         49.8085            148.159
           0        tcp     0    14         49.9143            116.111
           0        tcp     0    14         50.0323            173.595
           0        tcp     0    14         50.1344            80.2251
           0        tcp     0    14         50.3245            64.6453
           0        tcp     0    14         50.4401             141.78
           0        tcp     0    14         50.5652            163.686
           0        tcp     0    14         50.6791             71.895
           0        tcp     0    14         50.7794            163.468
           0        tcp     0    14         50.9117            154.736
           0        tcp     0    14         51.0605            110.094
           0        tcp     0    14         51.1714            147.721
           0        tcp     0    14         51.3014            157.642
           0        tcp     0    14         51.4307            126.646
           0        tcp     0    14         51.5346            118.265
           0        tcp     0    14         51.6941            102.734
           0        tcp     0    14         51.8115            139.584
           0        tcp     0    14          51.937            97.8978
           0        tcp     0    14         52.0733            180.384
           0        tcp     0    14         52.1746            161.686
           0        tcp     0    14         52.2881            144.365
           0        tcp     0    14         52.4274            146.972
           0        tcp     0    14         52.5837            78.6281
           0        tcp     0    14         52.7531            96.7289
           0        tcp     0    14         53.6553            18.1595
           0        tcp     0    14         53.7825            128.765
           0        tcp     0    14          53.901            103.754
           0        tcp     0    14         54.0344            122.762
           0        tcp     0    14         54.2123            92.1164
           0        tcp     0    14         54.3314            171.893
           0        tcp     0    14         54.4315            122.853
           0        tcp     0    14         54.5767            112.824
           0        tcp     0    14         54.6867            148.922
           0        tcp     0    14         54.7877            162.207
           0        tcp     0    14         54.8972            112.203
           0        tcp     0    14         55.0376            116.721
           0        tcp     0    14         55.1536            141.293
           0        tcp     0    14         55.2635            149.002
           0        tcp     0    14         55.3663            159.399
           0        tcp     0    14         55.4929            129.364
           0        tcp     0    14         55.6027             149.31
           0        tcp     0    14          55.712            112.418
           0        tcp     0    14          55.853            116.186
           0        tcp     0    14          55.982            127.059
           0        tcp     0    14         56.0839            160.695
           0        tcp     0    14         56.2055            134.732
           0        tcp     0    14         56.3752            96.5514
           0        tcp     0    14         56.4811            193.318
           0        tcp     0    14          56.594            145.206
           0        tcp     0    14         56.7325            147.849
           0        tcp     0    14         56.8397            152.873
           0        tcp     0    14         56.9801            116.687
           0        tcp     0    14            57.1             136.58
           0        tcp     0    14         57.2964            83.4372
           0        tcp     0    14         57.3989            159.802
           0        tcp     0    14         57.5024            158.311
           0        tcp     0    14         57.6159            108.278
           0        tcp     0    14         57.7402            131.867
           0        tcp     0    14          57.848            113.953
           0        tcp     0    14         57.9731            163.739
           0        tcp     0    14         58.0772            118.023
           0        tcp     0    14         58.1956            138.351
           0        tcp     0    14         58.3802            88.7595
           0        tcp     0    14         58.5449            174.059
           0        tcp     0    14         58.6463            121.148
           0        tcp     0    14         58.7496            119.049
           0        tcp     0    14         58.8599            222.786
           0        tcp     0    14         58.9747             142.73
           0        tcp     0    14         59.0972            167.088
           0        tcp     0    14          59.314            37.7896
           0        tcp     0    14         59.4318            139.107
           0        tcp     0    14          59.536            157.178
           0        tcp     0    14          60.133             27.446
           0        tcp     0    14         60.2376            156.589
           0        tcp     0    14         60.3607            66.5464
           0        tcp     0    14         60.4743            108.168
           0        tcp     0    14         60.6022            128.112
           0        tcp     0    14          60.709            191.806
           0        tcp     0    14         60.8667            77.9017
           0        tcp     0    14         60.9865            171.001
           0        tcp     0    14         61.1064            136.681
           0        tcp     0    14         61.2203            143.755
           0        tcp     0    14         61.3391            137.895
           0        tcp     0    14         61.4449            154.955
