#       flow   flowType   src   dst            time         throughput

           0        tcp     0    14         1.21671            56.7016
           0        tcp     0    14         1.41831             162.54
           0        tcp     0    14         1.63961            129.564
           0        tcp     0    14         1.84493            139.646
           0        tcp     0    14         2.05445            136.843
           0        tcp     0    14         2.26833             134.06
           0        tcp     0    14         2.48551            150.876
           0        tcp     0    14         2.68634            142.766
           0        tcp     0    14         2.91055             146.15
           0        tcp     0    14         3.11774            158.155
           0        tcp     0    14         3.33903             148.08
           0        tcp     0    14         3.55973             129.91
           0        tcp     0    14         3.77211            154.296
           0        tcp     0    14         4.64506            9.38426
           0        tcp     0    14         4.97677            98.7832
           0        tcp     0    14         5.18467            137.913
           0        tcp     0    14         5.43519            81.7497
           0        tcp     0    14         5.72837            83.8251
           0        tcp     0    14         5.95399            127.085
           0        tcp     0    14         6.16388             78.057
           0        tcp     0    14         6.38508            111.106
           0        tcp     0    14         6.60293            94.0094
           0        tcp     0    14         6.80772            120.006
           0        tcp     0    14          7.0332            108.991
           0        tcp     0    14         7.24146            137.674
           0        tcp     0    14         7.47492            122.818
           0        tcp     0    14         7.68213            138.371
           0        tcp     0    14         7.89473            134.862
           0        tcp     0    14         8.11041            151.928
           0        tcp     0    14         8.34037            142.494
           0        tcp     0    14         8.55255            154.437
           0        tcp     0    14         9.64968            7.46678
           0        tcp     0    14         9.86204            154.304
           0        tcp     0    14         10.0841            129.135
           0        tcp     0    14         10.2964             57.882
           0        tcp     0    14         10.5567            110.138
           0        tcp     0    14         10.7601            140.927
           0        tcp     0    14         11.0276            76.5663
           0        tcp     0    14         11.2666            137.107
           0        tcp     0    14         11.4771            155.663
           0        tcp     0    14         12.1519            6.07006
           0        tcp     0    14         12.3572            159.639
           0        tcp     0    14         12.5675            116.845
           0        tcp     0    14         12.7868            130.735
           0        tcp     0    14          13.007            148.845
           0        tcp     0    14          13.217            136.522
           0        tcp     0    14         13.4354            150.062
           0        tcp     0    14           13.66            145.849
           0        tcp     0    14         13.8837            146.526
           0        tcp     0    14         14.0966            153.885
           0        tcp     0    14         14.3117            133.306
           0        tcp     0    14         14.5265            152.524
           0        tcp     0    14          14.741            76.3793
           0        tcp     0    14         15.0166            104.052
           0        tcp     0    14         15.2215            139.907
           0        tcp     0    14         15.4351            153.414
           0        tcp     0    14         15.6386            80.5248
           0        tcp     0    14         15.8637            109.154
           0        tcp     0    14         16.0922            71.6938
           0        tcp     0    14         16.3318            119.676
           0        tcp     0    14         16.5546            73.5458
           0        tcp     0    14         16.7648            77.9527
           0        tcp     0    14         16.9752            136.236
           0        tcp     0    14         17.1954             111.63
           0        tcp     0    14         17.4112            132.857
           0        tcp     0    14         17.6447            122.772
           0        tcp     0    14         17.8486            140.652
           0        tcp     0    14         18.0731            127.732
           0        tcp     0    14         18.2784             159.61
           0        tcp     0    14         18.4795            162.884
           0        tcp     0    14         18.7145            139.431
           0        tcp     0    14         18.9147            143.246
           0        tcp     0    14         19.1282            153.494
           0        tcp     0    14         19.3313            141.134
           0        tcp     0    14         19.5345            141.101
           0        tcp     0    14          19.742            157.928
           0        tcp     0    14         20.1453            71.0941
           0        tcp     0    14          20.354             157.05
           0        tcp     0    14         21.1305            21.0982
           0        tcp     0    14         21.3436            153.769
           0        tcp     0    14         21.5713            125.954
           0        tcp     0    14         21.7766            79.7945
           0        tcp     0    14         22.0326            79.9979
           0        tcp     0    14         22.6485            6.65036
           0        tcp     0    14         22.8651            151.295
           0        tcp     0    14         23.0651            61.4279
           0        tcp     0    14         23.2676            101.153
           0        tcp     0    14         23.4947            90.1856
           0        tcp     0    14         23.7117            75.5009
           0        tcp     0    14         23.9543            101.302
           0        tcp     0    14          24.174            111.869
           0        tcp     0    14         24.4074            52.6393
           0        tcp     0    14         24.6295             165.97
           0        tcp     0    14         25.1627            15.3654
           0        tcp     0    14         25.3673            140.135
           0        tcp     0    14         25.6146            115.939
           0        tcp     0    14         25.8261            135.557
           0        tcp     0    14          26.049            73.5095
           0        tcp     0    14         26.2519            80.7266
           0        tcp     0    14         26.4675            95.0033
           0        tcp     0    14         26.6909              146.7
           0        tcp     0    14         26.8951            80.2369
           0        tcp     0    14         27.1135            75.0124
           0        tcp     0    14         27.3289            76.0653
           0        tcp     0    14         27.5692            68.1639
           0        tcp     0    14         27.8448            89.1878
           0        tcp     0    14         28.0599             114.23
           0        tcp     0    14         28.2679            137.847
           0        tcp     0    14         28.4754            138.193
           0        tcp     0    14         28.6838            157.247
           0        tcp     0    14         28.9454            109.604
           0        tcp     0    14         29.1633            131.594
           0        tcp     0    14           30.17            24.4128
           0        tcp     0    14         30.3812            155.135
           0        tcp     0    14         31.6568            19.2662
           0        tcp     0    14         31.8705            153.299
           0        tcp     0    14         32.1011            106.594
           0        tcp     0    14         32.3148            114.973
