#       flow   flowType   src   dst            time         throughput

           0        tcp     0    14         1.21671            56.7016
           0        tcp     0    14         1.42712            155.735
           0        tcp     0    14         1.63528            157.418
           0        tcp     0    14         1.85831            73.4607
           0        tcp     0    14         2.09775            68.4263
           0        tcp     0    14         2.30182            80.2861
           0        tcp     0    14         2.50862            99.0353
           0        tcp     0    14         2.72479            113.687
           0        tcp     0    14         2.92975            119.908
           0        tcp     0    14         3.15913            124.998
           0        tcp     0    14         3.37636            131.985
           0        tcp     0    14         3.59599            130.547
           0        tcp     0    14         3.80617            136.422
           0        tcp     0    14         4.02093            133.503
           0        tcp     0    14         4.22802            138.453
           0        tcp     0    14         4.43675            137.362
           0        tcp     0    14         4.64633            156.352
           0        tcp     0    14         4.86131            133.368
           0        tcp     0    14         5.07558            133.814
           0        tcp     0    14         5.29407            149.975
           0        tcp     0    14         5.50958            152.051
           0        tcp     0    14         5.73869            143.021
           0        tcp     0    14         5.95008            135.639
           0        tcp     0    14         6.16009             156.03
           0        tcp     0    14          6.3851            145.626
           0        tcp     0    14         6.60033            133.216
           0        tcp     0    14         6.80837             157.51
           0        tcp     0    14          7.0579            114.904
           0        tcp     0    14         7.26899            155.236
           0        tcp     0    14         7.48771            149.812
           0        tcp     0    14         7.70647            149.791
           0        tcp     0    14         7.93006            146.558
           0        tcp     0    14         8.13606             139.18
           0        tcp     0    14         8.34088            159.988
           0        tcp     0    14         8.55772            170.005
           0        tcp     0    14          8.7868            143.041
           0        tcp     0    14         9.01228            163.492
           0        tcp     0    14         9.22226            156.049
           0        tcp     0    14         9.44278            130.018
           0        tcp     0    14         9.67445            141.442
           0        tcp     0    14         9.89007            151.974
           0        tcp     0    14         10.1011            155.282
           0        tcp     0    14         10.3289             143.84
           0        tcp     0    14         10.5409            154.544
           0        tcp     0    14         10.7642            165.126
           0        tcp     0    14         10.9789            152.581
           0        tcp     0    14           11.18            142.623
           0        tcp     0    14         11.3857            139.395
           0        tcp     0    14         11.6088            146.864
           0        tcp     0    14         11.8132            140.244
           0        tcp     0    14         12.0212            137.845
           0        tcp     0    14         12.2492            143.765
           0        tcp     0    14         12.4538            160.119
           0        tcp     0    14         12.6731            112.048
           0        tcp     0    14         12.9046            70.7807
           0        tcp     0    14         13.1394            69.7926
           0        tcp     0    14         13.3747            104.423
           0        tcp     0    14         13.5912            113.522
           0        tcp     0    14         13.7945            120.868
           0        tcp     0    14           14.02            127.151
           0        tcp     0    14         14.2361            132.669
           0        tcp     0    14          14.449             134.72
           0        tcp     0    14         14.6554            138.902
           0        tcp     0    14          14.865            136.801
           0        tcp     0    14         15.0947            142.623
           0        tcp     0    14         15.3339            136.982
           0        tcp     0    14          15.546            154.539
           0        tcp     0    14         15.7899            134.348
           0        tcp     0    14         15.9975             138.09
           0        tcp     0    14         16.2178             148.74
           0        tcp     0    14         16.4428            145.649
           0        tcp     0    14         16.6592            151.412
           0        tcp     0    14         16.8661            138.596
           0        tcp     0    14         17.0853             149.47
           0        tcp     0    14         17.2947            156.499
           0        tcp     0    14         17.4966            142.002
           0        tcp     0    14          17.714            150.754
           0        tcp     0    14         17.9382            146.139
           0        tcp     0    14          18.162            146.433
           0        tcp     0    14         18.3918            142.567
           0        tcp     0    14         18.5979            139.136
           0        tcp     0    14          18.806            157.482
           0        tcp     0    14         19.0237            150.517
           0        tcp     0    14         19.2366            153.898
           0        tcp     0    14         19.4617            145.561
           0        tcp     0    14         19.6857            146.303
           0        tcp     0    14         19.9049            149.452
           0        tcp     0    14         20.1063            142.389
           0        tcp     0    14         20.3405            139.904
           0        tcp     0    14         20.5602            167.788
           0        tcp     0    14         20.7706            155.775
           0        tcp     0    14          20.989             150.02
           0        tcp     0    14         21.2061            169.767
           0        tcp     0    14         21.4122            139.168
           0        tcp     0    14         21.6323            148.835
           0        tcp     0    14         21.8395            138.406
           0        tcp     0    14         22.0494            156.124
           0        tcp     0    14         22.2715            147.488
           0        tcp     0    14         22.4836            154.518
           0        tcp     0    14         22.7027            130.846
           0        tcp     0    14         22.9347            141.264
           0        tcp     0    14         23.1513            151.269
           0        tcp     0    14         23.3762            145.686
           0        tcp     0    14         23.5819            159.298
