Thu Mar 23 11:43:43 CST 2017
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput




--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.00279            383.951
           0        tcp     0     2         3.00534            400.387
           0        tcp     0     2         4.00986            395.528
           0        tcp     0     2          5.0149            399.395
           0        tcp     0     2         6.02117            394.835
           0        tcp     0     2         7.02304            396.573
           0        tcp     0     2         8.02416            392.774
           0        tcp     0     2         9.03562            396.859
           0        tcp     0     2          10.037            400.854
           0        tcp     0     2         11.0393            404.558
           0        tcp     0     2         12.0468            406.557
           0        tcp     0     2         13.0498            396.133
           0        tcp     0     2         14.0572            390.311
           0        tcp     0     2          15.066            401.993
           0        tcp     0     2          16.068            392.425
           0        tcp     0     2         17.0774            397.676
           0        tcp     0     2         18.0868             405.79
           0        tcp     0     2         19.0888            400.596
           0        tcp     0     2         20.0931            399.701
           0        tcp     0     2         21.0992            398.959
           0        tcp     0     2         22.1014            396.441



--- Hop Node Number:4 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     3         2.02381            240.046
           0        tcp     0     3         3.21577             89.345
           0        tcp     0     3         4.23635            208.696
           0        tcp     0     3         5.23941            261.345
           0        tcp     0     3         6.25061            255.191
           0        tcp     0     3         7.25453            248.879
           0        tcp     0     3         8.26757             258.77
           0        tcp     0     3         9.27733            247.441
           0        tcp     0     3         10.2825            256.727
           0        tcp     0     3         11.2831             94.146
           0        tcp     0     3         12.3045            200.507
           0        tcp     0     3         13.3071            245.131
           0        tcp     0     3         14.3106            248.991
           0        tcp     0     3         15.3215             259.31
           0        tcp     0     3         16.3278            244.226
           0        tcp     0     3         17.3437             249.98
           0        tcp     0     3         18.3536            275.792
           0        tcp     0     3         19.3708            241.616
           0        tcp     0     3         20.3747            273.365
           0        tcp     0     3         21.3914            245.752
           0        tcp     0     3         22.4089            233.461
           0        tcp     0     3         23.6584            216.359
           0        tcp     0     3          24.668            231.256



--- Hop Node Number:5 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     4          2.0134            181.883
           0        tcp     0     4         3.03075            181.176
           0        tcp     0     4         4.03355            183.804
           0        tcp     0     4         5.03975            195.397
           0        tcp     0     4         6.05418            193.812
           0        tcp     0     4         7.07219            189.106
           0        tcp     0     4         8.07782            195.508
           0        tcp     0     4         9.08594             190.96
           0        tcp     0     4         10.1028            185.298
           0        tcp     0     4         11.1182            181.511



--- Hop Node Number:6 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     5         2.01776            160.982
           0        tcp     0     5         3.02599            166.564
           0        tcp     0     5         4.04047            173.615
           0        tcp     0     5         5.04754            170.825
           0        tcp     0     5         6.06219            169.548
           0        tcp     0     5         7.07198            170.364
           0        tcp     0     5         8.08999            164.965
           0        tcp     0     5         9.11265             168.22
           0        tcp     0     5          10.113            167.877
           0        tcp     0     5         11.1169            167.278



--- Hop Node Number:7 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     6         2.00371            138.749
           0        tcp     0     6         3.02005            169.266
           0        tcp     0     6         4.02783            166.639
           0        tcp     0     6         5.03423            166.869
           0        tcp     0     6         6.05744            172.132
           0        tcp     0     6         7.07648             160.78
           0        tcp     0     6         8.08973            157.654
           0        tcp     0     6         9.11549             163.72
           0        tcp     0     6         10.1291            161.634
           0        tcp     0     6         11.1403             166.08
           0        tcp     0     6         12.1678            163.441
           0        tcp     0     6         13.1874            164.713
           0        tcp     0     6         14.1914            159.104
           0        tcp     0     6         15.2027            162.013
           0        tcp     0     6         16.2216            164.825
           0        tcp     0     6         17.2477            159.662
           0        tcp     0     6         18.2481            159.686
           0        tcp     0     6         19.2656            152.964
           0        tcp     0     6         20.2791            153.579
           0        tcp     0     6         21.2952            165.281
           0        tcp     0     6         22.3046            162.302
           0        tcp     0     6         23.3121             162.62
           0        tcp     0     6         24.3248            157.754
           0        tcp     0     6         25.3511            151.658
           0        tcp     0     6         26.3659            165.483
           0        tcp     0     6         27.3752            170.442
           0        tcp     0     6         28.3989            160.055
           0        tcp     0     6         29.4162            161.042
           0        tcp     0     6         30.4304            157.518
           0        tcp     0     6         31.4476            165.085
           0        tcp     0     6         32.4618            165.588
           0        tcp     0     6         33.4841            164.278
           0        tcp     0     6         34.5083            159.961
           0        tcp     0     6           35.53            164.368
           0        tcp     0     6         36.5365             166.86
           0        tcp     0     6         37.5389            167.539
           0        tcp     0     6          38.546            158.612
           0        tcp     0     6          39.571            151.848
           0        tcp     0     6         40.5755            159.025
           0        tcp     0     6         41.5796            163.171
           0        tcp     0     6         42.5854            158.836
           0        tcp     0     6         43.6051            164.681
           0        tcp     0     6         44.6086            163.271
           0        tcp     0     6         45.6242            165.363
           0        tcp     0     6         46.6406            157.164
           0        tcp     0     6         47.6413            159.634
           0        tcp     0     6         48.6685            159.497
           0        tcp     0     6         49.6747            158.763
           0        tcp     0     6          50.697            160.257
           0        tcp     0     6         51.7022            158.926
           0        tcp     0     6         52.7024            163.802
           0        tcp     0     6         53.7217            164.758
           0        tcp     0     6         54.7444             168.22
           0        tcp     0     6         55.7562            161.918
           0        tcp     0     6         56.7736            161.041
           0        tcp     0     6         57.7927            164.787
           0        tcp     0     6         58.8006            158.494
           0        tcp     0     6         59.8067            158.774
           0        tcp     0     6         60.8221            161.353
           0        tcp     0     6         61.8298            158.531
           0        tcp     0     6         62.8306            159.618
           0        tcp     0     6         63.8351            167.188
           0        tcp     0     6         64.8575             168.25
           0        tcp     0     6         65.8582            159.635
           0        tcp     0     6         66.8838            163.742
           0        tcp     0     6          67.897            161.716
           0        tcp     0     6         68.9113            161.517
           0        tcp     0     6         69.9382            167.531
           0        tcp     0     6         70.9542            161.261
           0        tcp     0     6         71.9722            164.962
           0        tcp     0     6          72.974            159.466
           0        tcp     0     6         73.9906            165.193
           0        tcp     0     6         75.0134            164.193
           0        tcp     0     6         76.0361            156.189
           0        tcp     0     6         77.0567            160.544
           0        tcp     0     6         78.0611            159.035
           0        tcp     0     6         79.0817            160.538
           0        tcp     0     6         80.1057                160
           0        tcp     0     6         81.1206            165.471
           0        tcp     0     6         82.1218            155.455
           0        tcp     0     6         83.1345             165.83
           0        tcp     0     6         84.1526            164.962
           0        tcp     0     6         85.1617            158.294
           0        tcp     0     6         86.1848            160.137



--- Hop Node Number:8 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     7         2.01234            141.612
           0        tcp     0     7         3.01833            154.721
           0        tcp     0     7         4.01991            159.493
           0        tcp     0     7         5.04055            156.513
           0        tcp     0     7         6.05277            161.861
           0        tcp     0     7         7.07269            140.561
           0        tcp     0     7          8.0808            146.269
           0        tcp     0     7         9.10175            156.467
           0        tcp     0     7         10.1149            153.627
           0        tcp     0     7          11.141            155.679
           0        tcp     0     7         12.1499            154.269
           0        tcp     0     7         13.1517            159.463
           0        tcp     0     7         14.1771            151.799
           0        tcp     0     7         15.1944             157.02
           0        tcp     0     7         16.2071            161.786
           0        tcp     0     7         17.2271            160.632
           0        tcp     0     7         18.2301            155.182
           0        tcp     0     7          19.265            154.355
           0        tcp     0     7         20.2876            156.221
           0        tcp     0     7         21.2983            158.048
           0        tcp     0     7         22.2999            151.307
           0        tcp     0     7         23.3311            154.906



--- Hop Node Number:9 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     8          2.0184             120.66
           0        tcp     0     8         3.02777            146.087
           0        tcp     0     8         4.03179            150.946
           0        tcp     0     8         5.05191            152.578
           0        tcp     0     8         6.05508            151.073
           0        tcp     0     8         7.07064            153.263
           0        tcp     0     8         8.09468            155.994
           0        tcp     0     8         9.09498            155.601
           0        tcp     0     8         10.1242            143.268



--- Hop Node Number:10 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     9         2.02519            135.842
           0        tcp     0     9         3.03892              149.5
           0        tcp     0     9         4.04842            154.182
           0        tcp     0     9          5.0666            156.891
           0        tcp     0     9         6.09495            147.375
           0        tcp     0     9          7.1151            152.573
           0        tcp     0     9         8.13191            153.075
           0        tcp     0     9         9.13697            154.865
           0        tcp     0     9          10.143            138.429
           0        tcp     0     9         11.1598            149.053
           0        tcp     0     9         12.1743            157.452
           0        tcp     0     9         13.1768            151.184
           0        tcp     0     9         14.1889            157.822
           0        tcp     0     9         15.1988            150.065



--- Hop Node Number:11 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    10         2.03085            131.123
           0        tcp     0    10         3.04481            141.386
           0        tcp     0    10         4.04958            146.757
           0        tcp     0    10         5.05621            150.554
           0        tcp     0    10         6.06801            153.833
           0        tcp     0    10         7.08824            152.561
           0        tcp     0    10         8.09804            154.138
           0        tcp     0    10         9.11731            136.631
           0        tcp     0    10         10.1206            142.887
           0        tcp     0    10         11.1317            129.638
           0        tcp     0    10         12.1362            142.721
           0        tcp     0    10         13.1583            132.238
           0        tcp     0    10         14.1823            144.002
           0        tcp     0    10         15.2053            152.155
           0        tcp     0    10         16.2326            143.537
           0        tcp     0    10         17.2532            148.486
           0        tcp     0    10         18.2545            151.358



--- Hop Node Number:12 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0    11         2.00173            118.579
           0        tcp     0    11         3.02129            144.627
