#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.00794            337.291
           0        tcp     0     2         3.00897            319.158
           0        tcp     0     2         4.01728            320.919
           0        tcp     0     2         5.02117            322.329
           0        tcp     0     2         6.02887            321.112
           0        tcp     0     2          7.0291            315.319
           0        tcp     0     2          8.0318            306.371
           0        tcp     0     2         9.03647            322.081
           0        tcp     0     2         10.0368            319.388
           0        tcp     0     2         11.0386            318.918
           0        tcp     0     2         12.0423            322.369
           0        tcp     0     2         13.0456            322.518
           0        tcp     0     2          14.058            315.598
           0        tcp     0     2         15.0619             318.25
           0        tcp     0     2         16.0635            318.976
           0        tcp     0     2          17.074            320.218
           0        tcp     0     2         18.0832            320.634
           0        tcp     0     2         19.0862            318.533
           0        tcp     0     2         20.0903            314.105
           0        tcp     0     2         21.0977            321.198
           0        tcp     0     2         22.1039            321.603
           0        tcp     0     2         23.1144             320.21
           0        tcp     0     2         24.1187            318.116
           0        tcp     0     2         25.1196            315.108
           0        tcp     0     2         26.1233            322.401
           0        tcp     0     2         27.1255            318.777
           0        tcp     0     2         28.1374            323.818
           0        tcp     0     2         29.1474            320.401
           0        tcp     0     2         30.1582            320.112
           0        tcp     0     2         31.1685             316.23
           0        tcp     0     2         32.1776            320.681
           0        tcp     0     2         33.1868             320.62
           0        tcp     0     2         34.1877            319.193
           0        tcp     0     2          35.198            320.283
           0        tcp     0     2         36.2071            320.671
           0        tcp     0     2         37.2116            318.055
           0        tcp     0     2         38.2181            317.438
           0        tcp     0     2         39.2213            322.543
           0        tcp     0     2          40.242            284.913
           0        tcp     0     2         41.2554            198.067
           0        tcp     0     2         42.2694            189.853
           0        tcp     0     2          43.271            196.283
           0        tcp     0     2         44.2939            196.205
           0        tcp     0     2            45.3             195.42
           0        tcp     0     2         46.3119            198.349
           0        tcp     0     2         47.3156            195.885
           0        tcp     0     2         48.3354            196.802
           0        tcp     0     2         49.3478            198.258
           0        tcp     0     2         50.3575            198.763
           0        tcp     0     2         51.3684            194.501
           0        tcp     0     2         52.3797            198.449
           0        tcp     0     2         53.3826            200.132
           0        tcp     0     2         54.3888            195.394
           0        tcp     0     2         55.4069            197.129
           0        tcp     0     2         56.4158            198.946
           0        tcp     0     2         57.4387            196.205
           0        tcp     0     2         58.4525            197.964
           0        tcp     0     2         59.4671            197.827
           0        tcp     0     2         60.4972            194.832
           0        tcp     0     2          61.512            197.772
           0        tcp     0     2         62.5225            198.636
           0        tcp     0     2         63.5412             197.01
           0        tcp     0     2         64.5437            196.127
           0        tcp     0     2         65.5559             198.28
           0        tcp     0     2         66.5603            195.736
           0        tcp     0     2         67.5755             197.71
           0        tcp     0     2         68.5881            198.202
           0        tcp     0     2         69.5944            195.384
           0        tcp     0     2         70.5955             196.38
           0        tcp     0     2         71.6159            196.697
           0        tcp     0     2         72.6297            197.972
           0        tcp     0     2         73.6495            196.813
           0        tcp     0     2         74.6498            196.544
           0        tcp     0     2         75.6528            200.101
           0        tcp     0     2         76.6629            198.697
           0        tcp     0     2         77.6834            196.682
           0        tcp     0     2         78.6842            196.437
           0        tcp     0     2         79.6884            195.793
           0        tcp     0     2         80.6985            198.692
           0        tcp     0     2         81.7082            198.778
           0        tcp     0     2         82.7342            195.614
           0        tcp     0     2         83.7458            198.401
           0        tcp     0     2         84.7668            196.578
           0        tcp     0     2         85.7748            199.118
           0        tcp     0     2          86.796            196.544
           0        tcp     0     2         87.8145            197.062
           0        tcp     0     2         88.8174            196.039
           0        tcp     0     2         89.8248            199.217
           0        tcp     0     2          90.842            193.281
           0        tcp     0     2         91.8542            198.295
           0        tcp     0     2          92.861            199.349
           0        tcp     0     2         93.8791            197.124
           0        tcp     0     2         94.8895            198.641
           0        tcp     0     2         95.8978             199.05
           0        tcp     0     2         96.9238            195.631
           0        tcp     0     2         97.9439            196.735
           0        tcp     0     2         98.9481            199.882
           0        tcp     0     2         99.9526            195.719
           0        tcp     0     2         100.954            196.424
           0        tcp     0     2         101.962            199.057
           0        tcp     0     2         102.962            196.502
           0        tcp     0     2         103.986            196.068
           0        tcp     0     2         104.994            199.071
           0        tcp     0     2          106.02            195.712
           0        tcp     0     2         107.022            196.171
           0        tcp     0     2         108.032            198.626
           0        tcp     0     2         109.038            195.448
           0        tcp     0     2         110.047             194.96
           0        tcp     0     2         111.061            197.918
           0        tcp     0     2         112.076            197.772
           0        tcp     0     2          113.08            199.789
           0        tcp     0     2         114.084            195.828
           0        tcp     0     2         115.101            197.448
           0        tcp     0     2         116.101            196.464
           0        tcp     0     2         117.113            198.496
           0        tcp     0     2         118.137            195.943
           0        tcp     0     2         119.157            196.693
           0        tcp     0     2         120.168            198.668
           0        tcp     0     2         121.173            195.502
           0        tcp     0     2         122.189            197.502
           0        tcp     0     2           123.2            198.574
           0        tcp     0     2         124.206            195.466
