#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.00787            353.568
           0        tcp     0     2          3.0106            355.384
           0        tcp     0     2         4.01082            360.367
           0        tcp     0     2         5.01823            357.797
           0        tcp     0     2         6.02406             362.43
           0        tcp     0     2         7.03146            361.866
           0        tcp     0     2         8.04406            364.055
           0        tcp     0     2         9.05225            361.583
           0        tcp     0     2         10.0605            361.567
           0        tcp     0     2         11.0654            362.759
           0        tcp     0     2         12.0712            354.302
           0        tcp     0     2         13.0786            357.808
           0        tcp     0     2         14.0803            359.809
           0        tcp     0     2         15.0921            356.254
           0        tcp     0     2         16.0973            358.598
           0        tcp     0     2         17.1034            358.246
           0        tcp     0     2         18.1098            358.163
           0        tcp     0     2         19.1111            359.978
           0        tcp     0     2         20.1208            361.057
           0        tcp     0     2         21.1213            360.239
           0        tcp     0     2         22.1323            360.604
           0        tcp     0     2         23.1417            361.137
           0        tcp     0     2         24.1468            354.532
           0        tcp     0     2         25.1564             361.09
           0        tcp     0     2         26.1584            359.723
           0        tcp     0     2         27.1616            363.402
           0        tcp     0     2         28.1701            361.447
           0        tcp     0     2         29.1772            357.903
           0        tcp     0     2         30.1838            358.115
           0        tcp     0     2         31.1845            356.093
           0        tcp     0     2         32.1884            354.953
           0        tcp     0     2         33.1989            356.706
           0        tcp     0     2         34.2056            358.069
           0        tcp     0     2         35.2104            354.638
           0        tcp     0     2         36.2149            354.768
           0        tcp     0     2         37.2164            359.888
           0        tcp     0     2          38.222            362.501
           0        tcp     0     2         39.2253            363.346
           0        tcp     0     2         40.2365            332.158
           0        tcp     0     2          41.246            247.509
           0        tcp     0     2         42.2521            293.138
           0        tcp     0     2          43.298            293.693
           0        tcp     0     2         44.3071            292.276
           0        tcp     0     2         45.3554            308.672
           0        tcp     0     2         46.3626            252.125
           0        tcp     0     2         47.4003            232.898
           0        tcp     0     2         48.4078            300.842
           0        tcp     0     2         49.4081            286.614
           0        tcp     0     2         50.4187             263.45
           0        tcp     0     2         51.4216            334.896
           0        tcp     0     2         52.4293            329.245
           0        tcp     0     2         53.4352            264.678
           0        tcp     0     2         54.4389            297.904
           0        tcp     0     2           55.44            282.318
           0        tcp     0     2         56.4504            308.104
           0        tcp     0     2         57.4504            303.089
           0        tcp     0     2         58.4586            308.789
           0        tcp     0     2         59.4806            276.531
           0        tcp     0     2         60.4882            239.838
