#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2               2                  0
           0        tcp     0     2         50.8052                  0
           0        tcp     0     2         51.8052          0.0806217
           0        tcp     0     2         52.0125            197.579
           0        tcp     0     2         52.2196            355.997
           0        tcp     0     2         52.4232            342.046
           0        tcp     0     2         52.6328            332.151
           0        tcp     0     2         52.8343            386.282
           0        tcp     0     2         53.0628            322.636
           0        tcp     0     2         53.2641            366.205
           0        tcp     0     2         53.4832            317.792
           0        tcp     0     2         53.6939            408.355
           0        tcp     0     2         53.8979            361.314
           0        tcp     0     2          54.115            377.371
           0        tcp     0     2         54.3171            385.169
           0        tcp     0     2          54.526            294.071
           0        tcp     0     2         54.7294            382.622
           0        tcp     0     2         54.9337            360.927
           0        tcp     0     2          55.138            320.748
           0        tcp     0     2         55.3479            331.684
           0        tcp     0     2         55.5529            439.576
           0        tcp     0     2         55.7539            346.508
           0        tcp     0     2         55.9662            366.478
           0        tcp     0     2          56.167            326.414
           0        tcp     0     2         56.3768            371.048
           0        tcp     0     2         56.5832            377.003
           0        tcp     0     2         56.7864            403.135
           0        tcp     0     2         56.9887             364.39
           0        tcp     0     2         57.1955             336.71
           0        tcp     0     2          57.396            367.801
           0        tcp     0     2         57.6047            372.845
           0        tcp     0     2         57.8196            381.305
           0        tcp     0     2         58.0218            364.493
           0        tcp     0     2         58.2362            286.616
           0        tcp     0     2         58.4546             281.31
           0        tcp     0     2         58.6648             350.81
           0        tcp     0     2         58.8685            321.643
           0        tcp     0     2         59.0702             345.21
           0        tcp     0     2         59.2711            346.613
           0        tcp     0     2         59.4756             380.59
           0        tcp     0     2         59.6765            387.399
           0        tcp     0     2         59.8861            312.685
           0        tcp     0     2         60.1109             309.73
           0        tcp     0     2         60.3132            303.715
           0        tcp     0     2         60.5172            401.615
           0        tcp     0     2         60.7204            282.137
           0        tcp     0     2         60.9222            365.336
           0        tcp     0     2         61.1314            352.441
           0        tcp     0     2         61.3383            316.742
           0        tcp     0     2         61.5422            401.847
           0        tcp     0     2          61.765            367.704
           0        tcp     0     2         61.9714            396.771
           0        tcp     0     2         62.1743            363.445
           0        tcp     0     2         62.3764            364.811
           0        tcp     0     2          62.594            282.286
           0        tcp     0     2         62.7946            408.418
           0        tcp     0     2         63.0064            348.166
           0        tcp     0     2         63.2121            378.282
           0        tcp     0     2         63.4332            370.604
           0        tcp     0     2         63.6393            377.481
           0        tcp     0     2         63.8398            367.729
           0        tcp     0     2          64.047             336.04
           0        tcp     0     2         64.2487            345.291
           0        tcp     0     2         64.4579            332.868
           0        tcp     0     2         64.6801            368.703
           0        tcp     0     2         64.8931            442.291
           0        tcp     0     2         65.1029            331.918
           0        tcp     0     2         65.3055            343.683
           0        tcp     0     2         65.5222            340.243
           0        tcp     0     2         65.7235            366.204
           0        tcp     0     2         65.9342            349.891
           0        tcp     0     2         66.1356            386.366
           0        tcp     0     2         66.3394             361.89
           0        tcp     0     2         66.5511            406.165
           0        tcp     0     2         66.7535            344.152
           0        tcp     0     2         66.9538              347.5
           0        tcp     0     2         67.1582            340.739
           0        tcp     0     2         67.3689            369.448
           0        tcp     0     2         67.5692            388.515
           0        tcp     0     2         67.7723            342.858
           0        tcp     0     2         67.9817             410.73
           0        tcp     0     2         68.1933            367.772
           0        tcp     0     2          68.404            349.884
           0        tcp     0     2         68.6134            371.596
           0        tcp     0     2         68.8184            339.787
           0        tcp     0     2         69.0363            338.348
           0        tcp     0     2         69.2423            377.661
           0        tcp     0     2         69.4524            429.014
           0        tcp     0     2         69.6776            363.777
           0        tcp     0     2         69.8885            349.529
           0        tcp     0     2         70.0933            380.079
           0        tcp     0     2         70.2995            337.618
           0        tcp     0     2         70.5016            385.023
           0        tcp     0     2         70.7075            298.475
           0        tcp     0     2         70.9164             392.14
           0        tcp     0     2         71.1206            361.035
           0        tcp     0     2          71.331            330.948
           0        tcp     0     2         71.5442            384.211
           0        tcp     0     2          71.746            385.639
           0        tcp     0     2         71.9473            345.928
           0        tcp     0     2         72.1482            407.723
           0        tcp     0     2         72.3627            343.785
           0        tcp     0     2         72.5773            362.729
           0        tcp     0     2         72.7908            364.411
           0        tcp     0     2         72.9944            362.157
           0        tcp     0     2         73.2034            352.748
           0        tcp     0     2         73.4035            388.918
           0        tcp     0     2         73.6177            363.373
           0        tcp     0     2         73.8185            407.873
           0        tcp     0     2         74.0196            346.274
           0        tcp     0     2         74.2211            365.903
           0        tcp     0     2         74.4283            355.837
           0        tcp     0     2         74.6397            368.148
           0        tcp     0     2         74.8457            357.829
           0        tcp     0     2         75.0505            379.995
           0        tcp     0     2         75.2574            376.274
           0        tcp     0     2         75.4587            345.862
           0        tcp     0     2         75.6613            363.889
           0        tcp     0     2         75.8762            362.203
           0        tcp     0     2         76.0839            354.997
           0        tcp     0     2         76.2964            366.183
