#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.00274            339.039
           0        tcp     0     2         3.01556             319.49
           0        tcp     0     2         4.02145            321.686
           0        tcp     0     2         5.02355            322.907
           0        tcp     0     2         6.03344            320.416
           0        tcp     0     2         7.03817            317.985
           0        tcp     0     2         8.04596            321.081
           0        tcp     0     2         9.05186            321.687
           0        tcp     0     2         10.0648            319.445
           0        tcp     0     2         11.0767            319.791
           0        tcp     0     2          12.082            321.865
           0        tcp     0     2         13.0841            322.922
           0        tcp     0     2         14.0873            318.468
           0        tcp     0     2         15.0995            319.674
           0        tcp     0     2         16.1011             318.97
           0        tcp     0     2         17.1093            320.952
           0        tcp     0     2         18.1181             320.78
           0        tcp     0     2         19.1221             318.22
           0        tcp     0     2         20.1299            316.989
           0        tcp     0     2          21.137              321.3
           0        tcp     0     2         22.1439            321.396
           0        tcp     0     2         23.1555            319.872
           0        tcp     0     2          24.166            320.204
           0        tcp     0     2         25.1733            317.174
           0        tcp     0     2          26.182            320.784
           0        tcp     0     2         27.1849            318.568
           0        tcp     0     2         28.1968             323.85
           0        tcp     0     2         29.2055            320.776
           0        tcp     0     2         30.2172            319.851
           0        tcp     0     2         31.2196            318.723
           0        tcp     0     2         32.2288             320.62
           0        tcp     0     2         33.2369            321.002
           0        tcp     0     2         34.2408            318.239
           0        tcp     0     2         35.2503            320.549
           0        tcp     0     2         36.2575            321.245
           0        tcp     0     2         37.2698            319.664
           0        tcp     0     2         38.2778             316.95
           0        tcp     0     2         39.2807            322.651
           0        tcp     0     2         40.2897            316.626
           0        tcp     0     2         41.2906             319.22
           0        tcp     0     2         42.2968            317.525
           0        tcp     0     2         43.2994             322.72
           0        tcp     0     2         44.3084            320.708
           0        tcp     0     2         45.3099            323.087
           0        tcp     0     2          46.319            320.688
           0        tcp     0     2         47.3218            322.682
           0        tcp     0     2         48.3311            320.606
           0        tcp     0     2         49.3312            319.442
           0        tcp     0     2         50.3366            321.855
           0        tcp     0     2         51.3437            321.306
           0        tcp     0     2          52.351            321.231
           0        tcp     0     2         53.3566            317.707
           0        tcp     0     2         54.3604            318.261
           0        tcp     0     2         55.3659            321.819
           0        tcp     0     2         56.3754            320.542
           0        tcp     0     2         57.3856            320.307
           0        tcp     0     2         58.3902            322.113
           0        tcp     0     2         59.5315             165.09
           0        tcp     0     2         60.8469            46.7076
           0        tcp     0     2          62.105            29.3025
           0        tcp     0     2         63.5447            25.6045
           0        tcp     0     2         64.9702            25.8611
           0        tcp     0     2          66.399            22.9338
           0        tcp     0     2         67.7759            5.94973
           0        tcp     0     2         69.1612            17.7396
           0        tcp     0     2         70.5511            17.6817
           0        tcp     0     2         71.9327            17.7881
           0        tcp     0     2         73.3235            17.6709
           0        tcp     0     2         74.7025             17.821
           0        tcp     0     2         76.1008             17.576
           0        tcp     0     2         77.4874             17.724
           0        tcp     0     2         78.8831            17.6081
           0        tcp     0     2         80.2678            17.7491
           0        tcp     0     2          81.655            17.7162
           0        tcp     0     2         83.0419            17.7193
           0        tcp     0     2         84.4293            17.7139
           0        tcp     0     2         85.8094            17.8082
           0        tcp     0     2         87.2016            17.6519
           0        tcp     0     2         88.5892            17.7108
           0        tcp     0     2         89.9728            17.7628
           0        tcp     0     2         91.3697            17.5934
           0        tcp     0     2         92.7556            17.7332
           0        tcp     0     2         94.1535            17.5801
           0        tcp     0     2         95.5419            17.7018
           0        tcp     0     2         96.9308             17.694
           0        tcp     0     2         98.3205            17.6843
           0        tcp     0     2          99.709            17.6997
           0        tcp     0     2         101.096            17.7196
           0        tcp     0     2         102.482            17.7333
           0        tcp     0     2         103.868            17.7338
           0        tcp     0     2         105.261            17.6429
           0        tcp     0     2         106.654            17.6433
           0        tcp     0     2         108.045            17.6602
           0        tcp     0     2         109.428            17.7671
           0        tcp     0     2         110.815              17.72
           0        tcp     0     2         112.206            17.6752
           0        tcp     0     2         113.594            17.6982
           0        tcp     0     2         114.981            17.7217
           0        tcp     0     2         116.372            17.6634
           0        tcp     0     2         117.754             17.786
           0        tcp     0     2         119.137             17.772
           0        tcp     0     2         120.528            17.6726
           0        tcp     0     2         121.911            17.7661
           0        tcp     0     2         123.297            17.7262
           0        tcp     0     2         124.683            17.7388
           0        tcp     0     2         126.063            17.8061
           0        tcp     0     2         127.443            17.8123
           0        tcp     0     2         128.834            17.6637
           0        tcp     0     2         130.217            17.7762
           0        tcp     0     2         131.609            17.6496
           0        tcp     0     2         133.003            17.6255
           0        tcp     0     2         134.394            17.6699
           0        tcp     0     2         135.779             17.753
           0        tcp     0     2         137.166            17.7101
           0        tcp     0     2         138.564            17.5771
           0        tcp     0     2         139.959            17.6284
           0        tcp     0     2         141.343             17.746
           0        tcp     0     2         142.728            17.7486
           0        tcp     0     2         144.113            17.7396
           0        tcp     0     2         145.491            17.8353
           0        tcp     0     2         146.881            17.6887
           0        tcp     0     2         148.269            17.7023
           0        tcp     0     2         149.667            17.5825
           0        tcp     0     2         151.053            17.7248
           0        tcp     0     2          152.44            17.7217
           0        tcp     0     2         153.446                  0
           0        tcp     0     2         172.335                  0
           0        tcp     0     2         173.335           0.392066
           0        tcp     0     2         174.336            343.639
           0        tcp     0     2         175.337            335.347
           0        tcp     0     2         176.344            321.379
           0        tcp     0     2         177.355            320.035
           0        tcp     0     2         178.359            322.401
           0        tcp     0     2         179.371            319.898
           0        tcp     0     2         180.378             317.12
           0        tcp     0     2         181.384            321.648
           0        tcp     0     2         182.391            325.465
           0        tcp     0     2         183.395            318.258
           0        tcp     0     2         184.403            320.815
           0        tcp     0     2         185.408            318.021
           0        tcp     0     2          186.42            319.804
           0        tcp     0     2         187.423            322.614
           0        tcp     0     2         188.423            319.442
           0        tcp     0     2         189.425            318.911
           0        tcp     0     2         190.435            320.184
           0        tcp     0     2         191.436            319.208
           0        tcp     0     2         192.436            319.436
           0        tcp     0     2         193.439            322.644
           0        tcp     0     2         194.455            318.565
           0        tcp     0     2         195.456            319.179
           0        tcp     0     2         196.464            321.114
           0        tcp     0     2         197.474            320.199
           0        tcp     0     2         198.481            321.539
           0        tcp     0     2         199.488            321.219


