#       flow   flowType   src   dst            time         throughput

           0        tcp     0     5         1.20725            79.0532
           0        tcp     0     5         1.41253            139.672
           0        tcp     0     5          1.6296            150.959
           0        tcp     0     5         1.83742            157.671
           0        tcp     0     5         2.04205            140.122
           0        tcp     0     5         2.26265             148.54
           0        tcp     0     5         2.47498            154.319
           0        tcp     0     5         2.68085            139.273
           0        tcp     0     5         2.88928            137.564
           0        tcp     0     5         3.10517            151.782
           0        tcp     0     5         3.33081            145.221
           0        tcp     0     5         3.53996            156.676
           0        tcp     0     5         3.74501            159.798
           0        tcp     0     5         3.94892            160.701
           0        tcp     0     5         4.15392            139.861
           0        tcp     0     5         4.35842            140.205
           0        tcp     0     5         4.57089            134.947
           0        tcp     0     5         4.78457            134.182
           0        tcp     0     5         4.98896            140.284
           0        tcp     0     5          5.1902            162.833
           0        tcp     0     5         5.40632            132.667
           0        tcp     0     5         5.60845            141.846
           0        tcp     0     5         5.82868            148.793
           0        tcp     0     5         6.05321            145.939
           0        tcp     0     5         6.28771            139.733
           0        tcp     0     5         6.50012            154.269
           0        tcp     0     5         6.71185            154.762
           0        tcp     0     5         6.92055            137.386
           0        tcp     0     5         7.16304            152.022
           0        tcp     0     5         7.38166            149.887
           0        tcp     0     5         7.60065            130.924
           0        tcp     0     5           7.813            154.316
           0        tcp     0     5         8.03505            147.572
           0        tcp     0     5         8.23602            142.661
           0        tcp     0     5         8.44694            155.363
           0        tcp     0     5         8.66621            149.442
           0        tcp     0     5         8.88129            133.309
           0        tcp     0     5         9.11493            140.248
           0        tcp     0     5         9.33348             149.93
           0        tcp     0     5         9.57544            152.357
           0        tcp     0     5         9.79675            148.063
           0        tcp     0     5          10.019            147.459
           0        tcp     0     5         10.2235             180.23
           0        tcp     0     5         10.4305            158.296
           0        tcp     0     5         10.6708            136.363
           0        tcp     0     5         10.8778            138.545
           0        tcp     0     5         11.0868            156.734
           0        tcp     0     5         11.3013            152.815
           0        tcp     0     5         11.5315            142.351
           0        tcp     0     5         11.7318            163.546
           0        tcp     0     5         11.9538            147.593
           0        tcp     0     5         12.1721            150.142
           0        tcp     0     5         12.4029            141.931
           0        tcp     0     5         12.6204            150.694
           0        tcp     0     5           12.83            136.808
           0        tcp     0     5         13.0428            153.984
           0        tcp     0     5         13.2616            149.772
           0        tcp     0     5          13.483            147.973
           0        tcp     0     5         14.0495            57.8459
           0        tcp     0     5         14.2636            133.884
           0        tcp     0     5         14.4762            154.153
           0        tcp     0     5         14.7164              136.4
           0        tcp     0     5         14.9184            141.944
           0        tcp     0     5         15.1253            138.615
           0        tcp     0     5         15.3483            146.914
           0        tcp     0     5          15.585             155.73
           0        tcp     0     5         15.7939            156.861
           0        tcp     0     5         16.0066            134.843
           0        tcp     0     5         16.2335            144.374
           0        tcp     0     5         16.4416            157.465
           0        tcp     0     5         16.6592              131.8
           0        tcp     0     5          16.862            161.536
           0        tcp     0     5         17.0652            141.153
           0        tcp     0     5         17.2697            140.191
           0        tcp     0     5         17.4744            140.029
           0        tcp     0     5         17.6927            150.147
           0        tcp     0     5         17.9027            136.498
           0        tcp     0     5         18.1191            151.451
           0        tcp     0     5         18.3247            139.458
           0        tcp     0     5         18.5484            128.153
           0        tcp     0     5         18.7776             142.98
           0        tcp     0     5         18.9893            135.402
           0        tcp     0     5         19.2125            146.821
           0        tcp     0     5         19.4373            145.806
           0        tcp     0     5          19.665            143.891
           0        tcp     0     5         19.8888            146.415
           0        tcp     0     5         20.1183            142.771
           0        tcp     0     5         20.3399            147.851
           0        tcp     0     5         20.5845            133.972
           0        tcp     0     5         20.7988            152.931
           0        tcp     0     5         21.0188            148.922
           0        tcp     0     5         21.2361            131.946
           0        tcp     0     5         21.4594            146.755
           0        tcp     0     5         21.6649            159.461
           0        tcp     0     5         21.8727            157.657
           0        tcp     0     5         22.0826            136.619
           0        tcp     0     5         22.3095            144.422
           0        tcp     0     5         22.5252              151.9
           0        tcp     0     5         22.7505            145.438
           0        tcp     0     5         22.9686            150.286
           0        tcp     0     5         23.1828            152.928
           0        tcp     0     5         23.3835            163.327
           0        tcp     0     5         23.5939            155.694
           0        tcp     0     5         23.8149            148.276
           0        tcp     0     5         24.0165            142.244
           0        tcp     0     5         24.2413            127.519
           0        tcp     0     5         24.4634            147.589
           0        tcp     0     5         24.6874            146.243
           0        tcp     0     5         24.9013            153.187
           0        tcp     0     5          25.117            132.967
           0        tcp     0     5         25.3569            153.657
           0        tcp     0     5         25.5811            146.163
           0        tcp     0     5         25.7914            155.806
           0        tcp     0     5         26.0041            154.037
           0        tcp     0     5         26.2194            133.186
           0        tcp     0     5         26.4197            143.146
           0        tcp     0     5         26.6229            141.107
           0        tcp     0     5         26.8415            149.901
           0        tcp     0     5         27.0603            131.042
           0        tcp     0     5         27.2696            156.522
           0        tcp     0     5         27.4885            168.451
           0        tcp     0     5         27.6977            176.212
           0        tcp     0     5         27.9025            159.949
           0        tcp     0     5         28.1068            140.346
           0        tcp     0     5         28.3103            140.949
           0        tcp     0     5          28.537            144.528
           0        tcp     0     5         28.7375            163.408
           0        tcp     0     5         28.9568             130.76
           0        tcp     0     5         29.1612              160.3
           0        tcp     0     5          29.383            147.722
           0        tcp     0     5         29.6044            148.048
           0        tcp     0     5         29.8129            157.123
           0        tcp     0     5         30.0315             149.87
           0        tcp     0     5         30.2374            139.266
           0        tcp     0     5         30.4594             147.64
           0        tcp     0     5         30.6808            147.956
           0        tcp     0     5          30.898            150.892
           0        tcp     0     5           31.13            141.253
           0        tcp     0     5         31.3499            149.034
           0        tcp     0     5         31.5761            144.856
           0        tcp     0     5         31.7958            130.456
           0        tcp     0     5         32.0118            151.772
           0        tcp     0     5         32.2139            141.839
           0        tcp     0     5         32.4287            152.583
           0        tcp     0     5         32.6413            134.803
           0        tcp     0     5         32.8463            139.866
           0        tcp     0     5         33.0469            142.964
           0        tcp     0     5         33.2541            158.139
           0        tcp     0     5         33.4592             159.79
           0        tcp     0     5         33.6649            139.355
           0        tcp     0     5         33.8808            151.763
           0        tcp     0     5         34.0854            140.188
           0        tcp     0     5         34.3081            147.129
           0        tcp     0     5         34.5092            142.594
           0        tcp     0     5         34.7373            143.652
           0        tcp     0     5         34.9575            148.796
           0        tcp     0     5         35.2044            132.726
           0        tcp     0     5         35.4182            153.274
           0        tcp     0     5         35.6347            151.329
           0        tcp     0     5          35.845            136.344
           0        tcp     0     5         36.0732            143.579
           0        tcp     0     5         36.2786            179.445
           0        tcp     0     5          36.489            175.222
           0        tcp     0     5         36.7094            148.662
           0        tcp     0     5         36.9364            144.349
           0        tcp     0     5         37.1395            141.198
           0        tcp     0     5         37.3456            159.024
           0        tcp     0     5         37.5483            141.424
           0        tcp     0     5         37.7689            111.425
           0        tcp     0     5         38.0072            154.684
           0        tcp     0     5         38.2231            151.763
           0        tcp     0     5         38.4404            150.814
           0        tcp     0     5         38.6655            145.577
           0        tcp     0     5         38.8717            178.715
           0        tcp     0     5         39.0996            143.829
           0        tcp     0     5         39.3206             148.22
           0        tcp     0     5         39.5385             150.38
           0        tcp     0     5         39.7401            142.252
           0        tcp     0     5         39.9507            136.143
           0        tcp     0     5         40.2112            78.6276
           0        tcp     0     5         40.4162            79.8988
           0        tcp     0     5         40.6789            62.3791
           0        tcp     0     5         40.9065            35.9957
           0        tcp     0     5         42.5879            4.87205
           0        tcp     0     5         43.1057            7.91029
           0        tcp     0     5         43.5886             8.4822
           0        tcp     0     5         43.8016            19.2317
           0        tcp     0     5         44.1139            39.3448
           0        tcp     0     5         46.0827            2.08046
           0        tcp     0     5         46.3538            30.2148
           0        tcp     0     5           46.61            63.9419
           0        tcp     0     5         48.1081            5.46821
           0        tcp     0     5         48.3449            34.6067
           0        tcp     0     5         48.6498            40.2911
           0        tcp     0     5         49.1823            30.7706
           0        tcp     0     5         49.3915            58.7398
           0        tcp     0     5         50.1159            22.6165
           0        tcp     0     5         50.6449            15.4873
           0        tcp     0     5         51.2987            6.26502
           0        tcp     0     5         51.5807            43.5741
           0        tcp     0     5         51.7932            38.5388
           0        tcp     0     5         52.9338                  0
           0        tcp     0     5         53.0802                  0
           0        tcp     0     5         54.0802              7.164
           0        tcp     0     5         55.1213            3.93436
           0        tcp     0     5         55.3562            34.8718
           0        tcp     0     5         55.5735            56.5477
           0        tcp     0     5         55.7889            38.0363
           0        tcp     0     5         56.2346            18.3784
           0        tcp     0     5         56.4446            58.5273
           0        tcp     0     5         57.0416            20.5836
           0        tcp     0     5         59.0815            6.02369
           0        tcp     0     5         59.5929            8.00949
           0        tcp     0     5         59.8058            57.7134
