#       flow   flowType   src   dst            time         throughput

           1        tcp     1     3               2                  0
           1        tcp     1     3         39.1102                  0
           1        tcp     1     3         40.1102            0.10473
           1        tcp     1     3         40.4567            47.2909
           1        tcp     1     3         40.6654            117.732
           1        tcp     1     3         40.8694            140.594
           1        tcp     1     3         41.0946            163.705
           1        tcp     1     3         41.2966            121.625
           1        tcp     1     3         41.6772            43.0534
           1        tcp     1     3         41.8899            134.771
           1        tcp     1     3          42.249            45.6337
           1        tcp     1     3         42.6563            30.1689
           1        tcp     1     3         42.8795            128.413
           1        tcp     1     3          43.088            176.854
           1        tcp     1     3         43.2949             178.15
           1        tcp     1     3         43.5027            137.998
           1        tcp     1     3         45.4642            12.5292
           1        tcp     1     3         45.7147            16.3491
           1        tcp     1     3         45.9767            31.2715
           1        tcp     1     3         46.2147            34.4218
           1        tcp     1     3         46.4427            53.8959
           1        tcp     1     3         46.6523            117.229
           1        tcp     1     3         46.8855            105.399
           1        tcp     1     3         47.1663            43.7498
           1        tcp     1     3         47.5623            10.3443
           1        tcp     1     3         47.8504            28.4383
           1        tcp     1     3         48.0693            56.1237
           1        tcp     1     3         48.2697            40.8795
           1        tcp     1     3         48.5083            68.6693
           1        tcp     1     3         48.7725            62.0119
           1        tcp     1     3         49.5074             22.294
           1        tcp     1     3           49.83            25.3968
           1        tcp     1     3         50.0599            35.6336
           1        tcp     1     3         50.3097            65.5759
           1        tcp     1     3         50.5289            130.811
           1        tcp     1     3         51.5803            15.5829
           1        tcp     1     3         51.9443             22.507
           1        tcp     1     3         52.2039            47.3352
           1        tcp     1     3         52.4505            66.4355
           1        tcp     1     3         53.3792            4.41049
           1        tcp     1     3         53.6548            29.7201
           1        tcp     1     3         53.8847            17.8187
           1        tcp     1     3         54.2081            25.3304
           1        tcp     1     3         54.4319            36.5994
           1        tcp     1     3         54.6403            78.6461
           1        tcp     1     3          54.891              98.03
           1        tcp     1     3         55.1298            34.3028
           1        tcp     1     3         55.3693            51.3079
           1        tcp     1     3         55.7628            41.6379
           1        tcp     1     3         55.9722            78.2169
           1        tcp     1     3         56.2652             125.84
           1        tcp     1     3          56.521            48.0244
           1        tcp     1     3         56.7912            60.6384
           1        tcp     1     3         57.3546            7.27059
           1        tcp     1     3         57.8248            26.1354
           1        tcp     1     3         58.0332            137.586
           1        tcp     1     3         58.2565            165.051
           1        tcp     1     3         58.4665            175.547
           1        tcp     1     3          58.686            149.279
           1        tcp     1     3         58.9184            52.8794
           1        tcp     1     3         59.2096            42.1927
           1        tcp     1     3         59.6242            19.7616
           1        tcp     1     3         59.8427            74.9768
           1        tcp     1     3         60.0737            53.1875
           1        tcp     1     3         60.6909            19.9087
