Sun Sep 12 21:05:21 CST 2010
SIMULATION DURATION: 300.0S, AODV+TCP

--- UDP Rate: 8Kb ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     9         2.06466            73.0978
           0        tcp     0     9         3.09692            111.103
           0        tcp     0     9         4.11836            92.2305
           0        tcp     0     9          5.1742            93.1049
           0        tcp     0     9         6.19019            100.789
           0        tcp     0     9         7.19061             94.169
           0        tcp     0     9         8.20881              72.41
           0        tcp     0     9         9.24128            115.048
           0        tcp     0     9         10.2663            79.9225
           0        tcp     0     9         11.2751            109.621
           0        tcp     0     9         12.2778            114.387
           0        tcp     0     9         13.3002            112.175
           0        tcp     0     9         14.3415             86.539
           0        tcp     0     9         15.3612            100.416
           0        tcp     0     9         16.3878            75.8085
           0        tcp     0     9         17.3965            109.635
           0        tcp     0     9         18.4501            77.7538
           0        tcp     0     9         19.4885            78.8918
           0        tcp     0     9         20.4981            81.1435
           0        tcp     0     9         21.5228            79.9449
           0        tcp     0     9         22.5628            106.332
           0        tcp     0     9         23.5852            84.1306
           0        tcp     0     9         24.5916            105.829
           0        tcp     0     9         25.6103            96.4992
           0        tcp     0     9         26.6847            87.6797
           0        tcp     0     9         27.7103            83.8717
           0        tcp     0     9         28.7174             105.74
           0        tcp     0     9         29.7782            108.118
           0        tcp     0     9         30.7889            77.0009
           0        tcp     0     9         31.8114            100.147
           0        tcp     0     9         32.8377            87.7987
           0        tcp     0     9         33.8986            77.2199
           0        tcp     0     9         34.9298             87.387
           0        tcp     0     9         35.9381            97.4971
           0        tcp     0     9         36.9525            113.052
           0        tcp     0     9         37.9672            100.922
           0        tcp     0     9         38.9817            113.046
           0        tcp     0     9         40.0022            88.2983
           0        tcp     0     9         41.0184             124.96
           0        tcp     0     9         42.0326            92.8836
           0        tcp     0     9         43.0471            88.8267
           0        tcp     0     9         44.0831            98.8467
           0        tcp     0     9         45.0881            114.112
           0        tcp     0     9         46.1008             76.846
           0        tcp     0     9         47.1219            88.2484
           0        tcp     0     9         48.1671            101.894
           0        tcp     0     9         49.1895            80.1221
           0        tcp     0     9         50.2361            78.2741
           0        tcp     0     9         51.2393             77.578
           0        tcp     0     9         52.2658            107.732
           0        tcp     0     9         53.2912            91.8784
           0        tcp     0     9         54.3043            92.9867
           0        tcp     0     9         55.3501            109.671
           0        tcp     0     9         56.4406            75.1225
           0        tcp     0     9         57.4974             108.52
           0        tcp     0     9         58.5109            80.8302
           0        tcp     0     9         59.5375            107.729
           0        tcp     0     9         60.5439            93.6047
           0        tcp     0     9         61.5645            116.393
           0        tcp     0     9         62.5773            80.8774
           0        tcp     0     9         63.6524            76.1982
           0        tcp     0     9         64.6916            78.8358
           0        tcp     0     9         65.6975            77.3656
           0        tcp     0     9         66.7175            100.386
           0        tcp     0     9         67.7514            83.1965
           0        tcp     0     9         68.7835            83.3411
           0        tcp     0     9         69.7844            114.589
           0        tcp     0     9         70.8061             72.159
           0        tcp     0     9         71.8123            113.988
           0        tcp     0     9         72.8161             110.17
           0        tcp     0     9         73.8216            101.845
           0        tcp     0     9         74.8338            129.481
           0        tcp     0     9         75.8346            118.689
           0        tcp     0     9         76.8514            76.5444
           0        tcp     0     9         77.9093            81.3086
           0        tcp     0     9         78.9114             106.27
           0        tcp     0     9         79.9414            115.319
           0        tcp     0     9         80.9854             109.86
           0        tcp     0     9         82.0228            114.503
           0        tcp     0     9         83.0912            76.6726
           0        tcp     0     9         84.1047            80.8266
           0        tcp     0     9         85.1149            109.478
           0        tcp     0     9         86.1502            79.1288
           0        tcp     0     9         87.1714            108.293
           0        tcp     0     9         88.1916            112.418
           0        tcp     0     9         89.2238            103.176
           0        tcp     0     9         90.2483            87.9513
           0        tcp     0     9         91.2659            104.661
           0        tcp     0     9          92.304             106.53
           0        tcp     0     9         93.3343            83.4914
           0        tcp     0     9         94.3695            87.0409
           0        tcp     0     9         95.4055            98.8445
           0        tcp     0     9         96.4304            111.899
           0        tcp     0     9         97.4397            89.2826
           0        tcp     0     9         98.4479            117.824
           0        tcp     0     9         99.4723            83.9676



--- UDP Rate: 16Kb ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     9         2.02646            63.8468
           0        tcp     0     9          3.0469             72.251
           0        tcp     0     9         4.08069            71.3183
           0        tcp     0     9         5.10458            68.0071
           0        tcp     0     9         6.15545             70.159
           0        tcp     0     9         7.18595            71.5458
           0        tcp     0     9          8.2034            72.4633
           0        tcp     0     9         9.24586            74.6548
           0        tcp     0     9         10.2464            94.1567
           0        tcp     0     9         11.2531            69.1682
           0        tcp     0     9         12.2722            84.4005
           0        tcp     0     9         13.2838            85.0304
           0        tcp     0     9         14.3033            104.465
           0        tcp     0     9         15.3637            88.8446
           0        tcp     0     9         16.3885            83.9299
           0        tcp     0     9          17.397            81.2301
           0        tcp     0     9         18.4424            74.4445
           0        tcp     0     9         19.4693            87.7472
           0        tcp     0     9         20.5438            68.6172
           0        tcp     0     9         21.5806            75.0635
           0        tcp     0     9         22.6117            71.5019
           0        tcp     0     9         23.6589            70.4049
           0        tcp     0     9         24.6657            73.2303
           0        tcp     0     9         25.6874             68.155
           0        tcp     0     9         26.7334            70.4892
           0        tcp     0     9         27.7773            66.7029
           0        tcp     0     9         28.8151            71.0394
           0        tcp     0     9         29.8666            93.4901
           0        tcp     0     9          30.876            73.0403
           0        tcp     0     9         31.8894              68.71
           0        tcp     0     9         32.9396            78.0044
           0        tcp     0     9         34.0109            80.2906
           0        tcp     0     9         35.0266            92.7537
           0        tcp     0     9         36.0801            69.9842
           0        tcp     0     9         37.0835             73.483
           0        tcp     0     9         38.1297            90.0471
           0        tcp     0     9         39.1395            73.0132
           0        tcp     0     9         40.1473             73.153
           0        tcp     0     9         41.1827              90.99
           0        tcp     0     9         42.1984            92.7522
           0        tcp     0     9         43.2418             66.737
           0        tcp     0     9         44.2758            71.2977
           0        tcp     0     9         45.2772            69.5399
           0        tcp     0     9         46.3191            74.6944
           0        tcp     0     9         47.3682            74.1759
           0        tcp     0     9         48.3809            72.8061
           0        tcp     0     9         49.3825            73.6141
           0        tcp     0     9         50.3905              73.14
           0        tcp     0     9         51.3919             69.531
           0        tcp     0     9         52.4233             87.374
           0        tcp     0     9         53.5135            71.3842
           0        tcp     0     9          54.514            73.6921
           0        tcp     0     9          55.551            71.0986
           0        tcp     0     9         56.5933            66.8048
           0        tcp     0     9         57.6185            91.8888
           0        tcp     0     9         58.6725            73.8353
           0        tcp     0     9         59.6886            88.6847
           0        tcp     0     9         60.6936            89.6704
           0        tcp     0     9         61.7139            68.2448
           0        tcp     0     9         62.7429            91.5548
           0        tcp     0     9          63.775            67.4669
           0        tcp     0     9         64.8201            82.3041
           0        tcp     0     9         65.8572            75.0341
           0        tcp     0     9         66.8941            71.1044
           0        tcp     0     9         67.8948            94.1477
           0        tcp     0     9         68.9167            72.1495
